ioi_sentences_input,ioi_sentences_labels,corr_ioi_sentences_input,corr_ioi_sentences_labels,ioi_sentences_labels_wrong,corr_ioi_sentences_labels_wrong
"Then, Pauline and Sheila had a lot of fun at the school. Pauline gave a raspberry to",Sheila,"Then, Kara and Deion had a lot of fun at the school. Royce gave a raspberry to",Eliza,Pauline,Kara
The market Sarah and Natasha went to had a blueberry. Natasha gave it to,Sarah,The market Terry and Randy went to had a blueberry. Paul gave it to,Freddy,Natasha,Randy
"While Erika and Rosemarie were working at the market, Erika gave a grape to",Rosemarie,"While Elise and Antonio were working at the market, Briana gave a grape to",Guillermo,Erika,Elise
"After the lunch, Alice and Marian went to the theater. Alice gave a pineapple to",Marian,"After the lunch, Billy and Sharon went to the theater. Lewis gave a pineapple to",Sandy,Alice,Billy
"While Kim and Estelle were working at the cave, Estelle gave a grape to",Kim,"While Victoria and Vincent were working at the cave, Nicklaus gave a grape to",Cornelius,Estelle,Vincent
Friends Agnes and Brian found a watermelon at the home. Agnes gave it to,Brian,Friends Kiley and Bruce found a watermelon at the home. Abbey gave it to,Sharon,Agnes,Kiley
The mountain Maggie and Theresa went to had a banana. Maggie gave it to,Theresa,The mountain Dontae and Lawrence went to had a banana. Jude gave it to,Brandon,Maggie,Dontae
"Then, Ginger and Lee were working at the zoo. Lee decided to give a apple to",Ginger,"Then, Carlo and Kyle were working at the zoo. Joan decided to give a apple to",Theodore,Lee,Kyle
"While Jessica and Alyssa were commuting to the beach, Jessica gave a papaya to",Alyssa,"While Matthew and Brynn were commuting to the beach, Gerard gave a papaya to",Abagail,Jessica,Matthew
"Then, Carmen and Grace were working at the cafe. Grace decided to give a pear to",Carmen,"Then, Jackeline and Freddie were working at the cafe. Troy decided to give a pear to",Larry,Grace,Freddie
"After Heidi and Teresa went to the zoo, Teresa gave a plum to",Heidi,"After Janice and Kaylah went to the zoo, August gave a plum to",Nicholas,Teresa,Kaylah
"When Theresa and Maggie got a raspberry at the library, Maggie decided to give it to",Theresa,"When Drew and Bruno got a raspberry at the library, Allan decided to give it to",Dallas,Maggie,Bruno
"When Shannon and Heidi got a mango at the school, Shannon decided to give it to",Heidi,"When Casey and Randy got a mango at the school, Dillon decided to give it to",Alonso,Shannon,Casey
"While Estelle and Lorraine were commuting to the shop, Estelle gave a watermelon to",Lorraine,"While Benny and Ramiro were commuting to the shop, Aryanna gave a watermelon to",Kiana,Estelle,Benny
"Then, William and Leigh were working at the library. Leigh decided to give a grape to",William,"Then, Jan and Ronaldo were working at the library. Andrew decided to give a grape to",Chandler,Leigh,Ronaldo
"Then, Virginia and Jessica were working at the museum. Jessica decided to give a peach to",Virginia,"Then, Mike and Anthony were working at the museum. Khalid decided to give a peach to",Elliott,Jessica,Anthony
"After Stella and Carol went to the park, Carol gave a strawberry to",Stella,"After Saige and Gavin went to the park, Diamond gave a strawberry to",Holly,Carol,Gavin
Friends Maggie and Rosa found a apple at the desert. Maggie gave it to,Rosa,Friends Lukas and Kurt found a apple at the desert. Juliet gave it to,Jeffrey,Maggie,Lukas
"Then, Diana and Agnes were working at the lake. Agnes decided to give a blueberry to",Diana,"Then, Issac and Lori were working at the lake. Lyric decided to give a blueberry to",Chad,Agnes,Lori
"When Yvette and Wilma got a banana at the store, Yvette decided to give it to",Wilma,"When Jacoby and Lia got a banana at the store, Tate decided to give it to",Silas,Yvette,Jacoby
"While Kelly and Mildred were commuting to the theater, Kelly gave a raspberry to",Mildred,"While Graham and Vivian were commuting to the theater, Roy gave a raspberry to",Seamus,Kelly,Graham
"After the lunch, Leona and Rebecca went to the market. Rebecca gave a pear to",Leona,"After the lunch, Marissa and Arianna went to the market. Calvin gave a pear to",Edwin,Rebecca,Arianna
"When Stacey and Rosemarie got a banana at the gym, Stacey decided to give the banana to",Rosemarie,"When Augustus and Dianna got a banana at the gym, Kristine decided to give the banana to",Micaela,Stacey,Augustus
The gym Sonia and Ella went to had a pear. Sonia gave it to,Ella,The gym Emerald and Hayley went to had a pear. Carmen gave it to,Amaya,Sonia,Emerald
"Then, Kristina and Jacqueline went to the bar. Kristina gave a grape to",Jacqueline,"Then, Ayden and Kelsey went to the bar. Darrin gave a grape to",Payton,Kristina,Ayden
Friends Mattie and Inez found a cherry at the beach. Inez gave it to,Mattie,Friends Addison and Peyton found a cherry at the beach. Kacey gave it to,Bryana,Inez,Peyton
"While Yvette and Amanda were commuting to the river, Yvette gave a apple to",Amanda,"While Willow and Melina were commuting to the river, Tre gave a apple to",Keegan,Yvette,Willow
"While Ginger and Gwen were working at the river, Gwen gave a kiwi to",Ginger,"While Kaylah and Karissa were working at the river, Conner gave a kiwi to",Pablo,Gwen,Karissa
Friends Deanna and Miriam found a plum at the home. Miriam gave it to,Deanna,Friends Antoine and Kristin found a plum at the home. Gunner gave it to,Zakary,Miriam,Kristin
"Then, Estelle and Marian went to the lake. Estelle gave a kiwi to",Marian,"Then, Benito and Gwen went to the lake. Judah gave a kiwi to",Elliot,Estelle,Benito
"While Megan and Jerry were working at the library, Megan gave a grape to",Jerry,"While Destiny and Asia were working at the library, Anderson gave a grape to",Isaiah,Megan,Destiny
Friends Martha and Marian found a watermelon at the theater. Martha gave it to,Marian,Friends Felicity and Shaun found a watermelon at the theater. James gave it to,Veronica,Martha,Felicity
"Then, Rebecca and Mark had a lot of fun at the zoo. Rebecca gave a papaya to",Mark,"Then, Lindsay and Kent had a lot of fun at the zoo. Michael gave a papaya to",Princess,Rebecca,Lindsay
"Afterwards, Gwen and Sarah went to the home. Gwen gave a blackberry to",Sarah,"Afterwards, Julius and Brad went to the home. Ben gave a blackberry to",Chandler,Gwen,Julius
"While Amanda and Grace were commuting to the cafe, Grace gave a papaya to",Amanda,"While Levi and Carly were commuting to the cafe, Clinton gave a papaya to",Hayden,Grace,Carly
"While Sheila and Agnes were commuting to the beach, Agnes gave a coconut to",Sheila,"While Jaron and Kari were commuting to the beach, Kaylah gave a coconut to",Peter,Agnes,Kari
"Then, Martha and Jacqueline had a lot of fun at the cave. Martha gave a papaya to",Jacqueline,"Then, Rahul and Cayden had a lot of fun at the cave. Christa gave a papaya to",Maddison,Martha,Rahul
"While Faye and Jessie were commuting to the home, Faye gave a blueberry to",Jessie,"While Kenna and Trinity were commuting to the home, Brendon gave a blueberry to",Ahmed,Faye,Kenna
"While Paula and Rachel were commuting to the library, Rachel gave a plum to",Paula,"While Erik and Connor were commuting to the library, Tyler gave a plum to",Jacob,Rachel,Connor
"Afterwards, Kim and Eleanor went to the forest. Eleanor gave a cherry to",Kim,"Afterwards, Victoria and Autumn went to the forest. Brett gave a cherry to",Montana,Eleanor,Autumn
"While Kim and Irma were working at the zoo, Irma gave a raspberry to",Kim,"While Thomas and Isaac were working at the zoo, Kathryn gave a raspberry to",Lori,Irma,Isaac
"Afterwards, Brandy and Agnes went to the home. Agnes gave a papaya to",Brandy,"Afterwards, Jaime and Jamison went to the home. Emilie gave a papaya to",Darrin,Agnes,Jamison
Friends Sophia and Mark found a plum at the home. Sophia gave it to,Mark,Friends Brittany and Justice found a plum at the home. Baby gave it to,Abram,Sophia,Brittany
"After the lunch, Heidi and Mona went to the home. Mona gave a watermelon to",Heidi,"After the lunch, Melanie and Cierra went to the home. Alisa gave a watermelon to",Dayana,Mona,Cierra
"Then, Charlene and Rebecca had a lot of fun at the school. Rebecca gave a raspberry to",Charlene,"Then, Ronald and Emerson had a lot of fun at the school. Isabela gave a raspberry to",Kristopher,Rebecca,Emerson
"Then, Brian and Violet were thinking about going to the cafe. Violet wanted to give a strawberry to",Brian,"Then, Mario and Rocky were thinking about going to the cafe. Lydia wanted to give a strawberry to",Stella,Violet,Rocky
Friends Mildred and Carol found a blackberry at the cafe. Carol gave it to,Mildred,Friends Nadine and Perla found a blackberry at the cafe. Guillermo gave it to,Lilly,Carol,Perla
"While Anne and Carol were commuting to the museum, Carol gave a watermelon to",Anne,"While Anderson and Lawson were commuting to the museum, Katie gave a watermelon to",Theresa,Carol,Lawson
"While Juana and Erika were commuting to the bar, Erika gave a orange to",Juana,"While Arlene and Ariana were commuting to the bar, Julianna gave a orange to",Elissa,Erika,Ariana
"Afterwards, Shannon and Ella went to the bar. Shannon gave a pineapple to",Ella,"Afterwards, Catherine and Joelle went to the bar. Jorge gave a pineapple to",Ean,Shannon,Catherine
"While Mattie and Carol were commuting to the beach, Carol gave a mango to",Mattie,"While Dejah and Alexis were commuting to the beach, Judith gave a mango to",Cheyanne,Carol,Alexis
"Then, Marsha and Deanna went to the gym. Marsha gave a blackberry to",Deanna,"Then, Freddy and Gina went to the gym. Brandi gave a blackberry to",Alessandra,Marsha,Freddy
"While Leigh and Kim were commuting to the home, Leigh gave a orange to",Kim,"While Lori and Craig were commuting to the home, Reagan gave a orange to",Angela,Leigh,Lori
"Then, Chelsea and Estelle had a lot of fun at the forest. Estelle gave a watermelon to",Chelsea,"Then, Charles and Malachi had a lot of fun at the forest. Colby gave a watermelon to",Michelle,Estelle,Malachi
"Then, Heidi and Suzanne had a lot of fun at the beach. Suzanne gave a papaya to",Heidi,"Then, Gilberto and Dominic had a lot of fun at the beach. Eleanor gave a papaya to",Naomi,Suzanne,Dominic
"After Sophia and Evelyn went to the lake, Sophia gave a honeydew to",Evelyn,"After Kaitlyn and Mekhi went to the lake, Mason gave a honeydew to",Callie,Sophia,Kaitlyn
The cafe Kevin and Sheila went to had a banana. Kevin gave it to,Sheila,The cafe Maria and Khalid went to had a banana. Baby gave it to,Craig,Kevin,Maria
"While Jody and Theresa were working at the library, Jody gave a papaya to",Theresa,"While Christina and Monica were working at the library, Jaiden gave a papaya to",Emilia,Jody,Christina
"While Yvette and Kathryn were commuting to the lake, Yvette gave a strawberry to",Kathryn,"While Toby and Madeleine were commuting to the lake, Anna gave a strawberry to",Preston,Yvette,Toby
Friends Robin and Harriet found a banana at the mountain. Robin gave it to,Harriet,Friends William and Rylan found a banana at the mountain. Emma gave it to,Zion,Robin,William
"After the lunch, Lorraine and Pauline went to the zoo. Pauline gave a orange to",Lorraine,"After the lunch, Jazlyn and Brendan went to the zoo. Stefanie gave a orange to",Nikki,Pauline,Brendan
"Then, Theresa and Grace were thinking about going to the theater. Grace wanted to give a strawberry to",Theresa,"Then, Angelique and Shaun were thinking about going to the theater. Alison wanted to give a strawberry to",Grant,Grace,Shaun
"While Loretta and Leigh were commuting to the river, Leigh gave a orange to",Loretta,"While Sophia and Riley were commuting to the river, Terence gave a orange to",Darian,Leigh,Riley
"When Leona and Jessica got a raspberry at the bar, Jessica decided to give it to",Leona,"When Jody and Kim got a raspberry at the bar, Lacey decided to give it to",Casey,Jessica,Kim
"After the lunch, Evelyn and Suzanne went to the home. Suzanne gave a plum to",Evelyn,"After the lunch, Cordell and Amara went to the home. Devon gave a plum to",Cayden,Suzanne,Amara
"After Velma and Loretta went to the cafe, Velma gave a raspberry to",Loretta,"After Mikel and Jordy went to the cafe, Cheyanne gave a raspberry to",Cynthia,Velma,Mikel
Friends Jessie and Gwen found a banana at the theater. Gwen gave it to,Jessie,Friends Mason and Amber found a banana at the theater. Karson gave it to,Antony,Gwen,Amber
"Then, Wilma and Carol went to the desert. Carol gave a apple to",Wilma,"Then, Luis and Dominique went to the desert. Donte gave a apple to",Kali,Carol,Dominique
"When Faye and Evelyn got a blueberry at the park, Faye decided to give the blueberry to",Evelyn,"When Tommy and Araceli got a blueberry at the park, Patience decided to give the blueberry to",Alonzo,Faye,Tommy
"When Kim and Miriam got a apple at the home, Miriam decided to give the apple to",Kim,"When Ross and Mariah got a apple at the home, Kailyn decided to give the apple to",Roland,Miriam,Mariah
"Then, Kim and Megan were thinking about going to the desert. Megan wanted to give a kiwi to",Kim,"Then, Ann and Hugh were thinking about going to the desert. Willow wanted to give a kiwi to",Aurora,Megan,Hugh
"Then, Grace and Stella went to the store. Grace gave a pear to",Stella,"Then, Raphael and Nora went to the store. Solomon gave a pear to",Sydney,Grace,Raphael
"When Stacey and Dianne got a honeydew at the forest, Stacey decided to give the honeydew to",Dianne,"When Dayton and Greta got a honeydew at the forest, Annabelle decided to give the honeydew to",Freddie,Stacey,Dayton
"While Fannie and Harriet were working at the zoo, Fannie gave a pear to",Harriet,"While Clare and Cale were working at the zoo, Lauren gave a pear to",Abram,Fannie,Clare
"While Ethel and Alicia were working at the museum, Ethel gave a cherry to",Alicia,"While Joelle and Darrion were working at the museum, Marcus gave a cherry to",Michelle,Ethel,Joelle
"While Pat and Evelyn were commuting to the beach, Pat gave a blackberry to",Evelyn,"While Alexander and Quintin were commuting to the beach, Conrad gave a blackberry to",Amira,Pat,Alexander
"While Marian and Mona were working at the river, Mona gave a coconut to",Marian,"While Samson and Erin were working at the river, Avery gave a coconut to",Aliya,Mona,Erin
"While Leigh and Susan were working at the market, Leigh gave a grape to",Susan,"While Sandra and Lee were working at the market, Damien gave a grape to",Richard,Leigh,Sandra
"Then, Marian and Shannon were thinking about going to the store. Shannon wanted to give a banana to",Marian,"Then, Stella and Donovan were thinking about going to the store. Henry wanted to give a banana to",Andre,Shannon,Donovan
"Then, Heidi and Martha were working at the lake. Martha decided to give a blueberry to",Heidi,"Then, Camden and Judah were working at the lake. Barry decided to give a blueberry to",Guy,Martha,Judah
"Then, Gwen and Deanna went to the bar. Gwen gave a grape to",Deanna,"Then, Lindsey and Joelle went to the bar. Shannon gave a grape to",Antony,Gwen,Lindsey
"Afterwards, Eleanor and William went to the home. Eleanor gave a plum to",William,"Afterwards, Davin and Ryan went to the home. Athena gave a plum to",Conor,Eleanor,Davin
"Then, Sonia and Deanna were thinking about going to the zoo. Sonia wanted to give a grape to",Deanna,"Then, Arianna and Isabel were thinking about going to the zoo. Leah wanted to give a grape to",Katlyn,Sonia,Arianna
"Then, Kathryn and Robin had a lot of fun at the cafe. Robin gave a pineapple to",Kathryn,"Then, Draven and Baby had a lot of fun at the cafe. Phillip gave a pineapple to",Kelvin,Robin,Baby
"Then, Rosa and Faye were thinking about going to the school. Faye wanted to give a blackberry to",Rosa,"Then, Ally and Misty were thinking about going to the school. Tyrek wanted to give a blackberry to",Katia,Faye,Misty
"Then, Eleanor and William had a lot of fun at the river. Eleanor gave a blueberry to",William,"Then, Hector and Patrick had a lot of fun at the river. Johnny gave a blueberry to",Alberto,Eleanor,Hector
