ioi_sentences_input,ioi_sentences_labels,corr_ioi_sentences_input,corr_ioi_sentences_labels,ioi_sentences_labels_wrong,corr_ioi_sentences_labels_wrong
"Then, Marian and Shannon went to the home. Shannon gave a raspberry to",Marian,"Then, Desmond and Kaleb went to the home. Reid gave a raspberry to",Garrison,Shannon,Kaleb
"After Theresa and Mona went to the park, Mona gave a kiwi to",Theresa,"After Kade and Jovan went to the park, Jonas gave a kiwi to",Howard,Mona,Jovan
The lake Kathryn and Richard went to had a strawberry. Richard gave it to,Kathryn,The lake Katerina and Dean went to had a strawberry. Brooks gave it to,Bennett,Richard,Dean
"Afterwards, Geneva and Jessie went to the river. Geneva gave a papaya to",Jessie,"Afterwards, Nico and Jude went to the river. Samuel gave a papaya to",Desmond,Geneva,Nico
"Then, Sonia and Virginia went to the library. Sonia gave a kiwi to",Virginia,"Then, Bradly and Aaron went to the library. Ruth gave a kiwi to",Rick,Sonia,Bradly
"Then, Marian and Sonia had a lot of fun at the market. Sonia gave a orange to",Marian,"Then, Kaylie and Denise had a lot of fun at the market. Drew gave a orange to",Donna,Sonia,Denise
"After Jerry and Ethel went to the gym, Ethel gave a pear to",Jerry,"After Paul and Ashly went to the gym, Frederick gave a pear to",Leilani,Ethel,Ashly
"Afterwards, Janet and Sophia went to the cave. Sophia gave a peach to",Janet,"Afterwards, Trystan and Desiree went to the cave. Judah gave a peach to",Lauren,Sophia,Desiree
Friends Irma and Kathryn found a pineapple at the lake. Irma gave it to,Kathryn,Friends Jonas and Rashad found a pineapple at the lake. Andreas gave it to,Hanna,Irma,Jonas
"Then, Leona and Teresa had a lot of fun at the beach. Teresa gave a orange to",Leona,"Then, Naomi and Marcos had a lot of fun at the beach. Irvin gave a orange to",Rasheed,Teresa,Marcos
"When Alice and Loretta got a cantaloupe at the market, Alice decided to give it to",Loretta,"When Craig and Stefanie got a cantaloupe at the market, Taylor decided to give it to",Nayeli,Alice,Craig
"After Rosemarie and Inez went to the bar, Inez gave a pineapple to",Rosemarie,"After Demarcus and Rashad went to the bar, Kaylee gave a pineapple to",Estefania,Inez,Rashad
"Then, Kristina and Juana had a lot of fun at the beach. Kristina gave a peach to",Juana,"Then, Courtney and Carol had a lot of fun at the beach. Yvonne gave a peach to",Alvaro,Kristina,Courtney
"After Rosemarie and Geneva went to the market, Geneva gave a cantaloupe to",Rosemarie,"After Alisha and Josephine went to the market, Alyssa gave a cantaloupe to",Craig,Geneva,Josephine
"Then, Virginia and Alice were working at the mountain. Alice decided to give a pear to",Virginia,"Then, Nick and Henry were working at the mountain. Kenya decided to give a pear to",Noel,Alice,Henry
"After the lunch, Irma and Juana went to the shop. Irma gave a papaya to",Juana,"After the lunch, Brody and Nancy went to the shop. Dianna gave a papaya to",Francis,Irma,Brody
"Then, Kevin and Stacy were working at the river. Kevin decided to give a banana to",Stacy,"Then, Karl and Danielle were working at the river. Nash decided to give a banana to",Matthew,Kevin,Karl
"While Fannie and Anita were commuting to the cafe, Fannie gave a banana to",Anita,"While Ruth and Regan were commuting to the cafe, Terrell gave a banana to",Jared,Fannie,Ruth
"Then, Maggie and Mildred had a lot of fun at the store. Maggie gave a cantaloupe to",Mildred,"Then, Keaton and Alysha had a lot of fun at the store. Christa gave a cantaloupe to",Freddy,Maggie,Keaton
"Then, Ella and Yvette went to the forest. Yvette gave a coconut to",Ella,"Then, Aliyah and Allyson went to the forest. Darrius gave a coconut to",Bailee,Yvette,Allyson
"Afterwards, Wilma and Richard went to the forest. Richard gave a peach to",Wilma,"Afterwards, Francis and Johnny went to the forest. Megan gave a peach to",Emilie,Richard,Johnny
"Then, Jackie and Susan were thinking about going to the school. Jackie wanted to give a cherry to",Susan,"Then, Desmond and William were thinking about going to the school. Darren wanted to give a cherry to",Avery,Jackie,Desmond
"After the lunch, Theresa and Velma went to the school. Velma gave a plum to",Theresa,"After the lunch, Rene and Elaina went to the school. Cassandra gave a plum to",Coleman,Velma,Elaina
"When Angie and Stacey got a pineapple at the store, Stacey decided to give it to",Angie,"When Malcolm and Jenifer got a pineapple at the store, Dominik decided to give it to",Jamarcus,Stacey,Jenifer
"Then, Natasha and Anne were thinking about going to the home. Natasha wanted to give a peach to",Anne,"Then, Megan and Ari were thinking about going to the home. Eli wanted to give a peach to",Erica,Natasha,Megan
"When Kristi and Rosa got a pineapple at the shop, Kristi decided to give the pineapple to",Rosa,"When Gideon and Tiana got a pineapple at the shop, Shannon decided to give the pineapple to",Trent,Kristi,Gideon
The cave Kathryn and Teresa went to had a honeydew. Teresa gave it to,Kathryn,The cave Sergio and Jesse went to had a honeydew. Tommy gave it to,Megan,Teresa,Jesse
"When Alice and Paula got a peach at the shop, Alice decided to give the peach to",Paula,"When Kelly and Bradley got a peach at the shop, Chris decided to give the peach to",Melody,Alice,Kelly
"After Anne and Carol went to the zoo, Carol gave a coconut to",Anne,"After Jeremy and Nicolas went to the zoo, Reed gave a coconut to",Spencer,Carol,Nicolas
"After the lunch, Alyssa and Lula went to the desert. Lula gave a watermelon to",Alyssa,"After the lunch, Adrienne and Nicholas went to the desert. Braedon gave a watermelon to",Sophie,Lula,Nicholas
"When Rachel and Angie got a mango at the forest, Rachel decided to give the mango to",Angie,"When Alan and Luisa got a mango at the forest, Jan decided to give the mango to",Drew,Rachel,Alan
"Afterwards, Inez and Janet went to the gym. Inez gave a cantaloupe to",Janet,"Afterwards, Priscilla and Paula went to the gym. Dillon gave a cantaloupe to",Chance,Inez,Priscilla
"When Teresa and Susan got a mango at the store, Teresa decided to give the mango to",Susan,"When Holden and Ray got a mango at the store, Rita decided to give the mango to",Maxim,Teresa,Holden
"After the lunch, Stacey and Stella went to the school. Stacey gave a cherry to",Stella,"After the lunch, Antonia and Daisha went to the school. Hannah gave a cherry to",Angelique,Stacey,Antonia
"When Brian and Melissa got a cherry at the shop, Melissa decided to give the cherry to",Brian,"When Ian and Braxton got a cherry at the shop, Steven decided to give the cherry to",Damien,Melissa,Braxton
"When Kathryn and Shannon got a blueberry at the desert, Shannon decided to give it to",Kathryn,"When Demarco and Dale got a blueberry at the desert, Joey decided to give it to",Alberto,Shannon,Dale
"Then, Natasha and Juana had a lot of fun at the beach. Natasha gave a cantaloupe to",Juana,"Then, Melina and Ronnie had a lot of fun at the beach. Quinn gave a cantaloupe to",Joselyn,Natasha,Melina
"Then, Leona and Jessica had a lot of fun at the river. Jessica gave a peach to",Leona,"Then, Isaiah and Hillary had a lot of fun at the river. Trevor gave a peach to",Alvin,Jessica,Hillary
"Then, Virginia and Kristina had a lot of fun at the library. Kristina gave a banana to",Virginia,"Then, Christian and Tamara had a lot of fun at the library. Christy gave a banana to",Carlos,Kristina,Tamara
"Afterwards, William and Melissa went to the mountain. Melissa gave a pineapple to",William,"Afterwards, Morgan and Amira went to the mountain. Abbey gave a pineapple to",Ruby,Melissa,Amira
"Then, Lula and Rosa had a lot of fun at the market. Lula gave a blueberry to",Rosa,"Then, Bradley and Dexter had a lot of fun at the market. Derrick gave a blueberry to",Devan,Lula,Bradley
"While Megan and Alicia were commuting to the desert, Megan gave a honeydew to",Alicia,"While Philip and Rosemarie were commuting to the desert, Carl gave a honeydew to",Esther,Megan,Philip
"Afterwards, Sarah and Velma went to the forest. Velma gave a plum to",Sarah,"Afterwards, Russell and Issac went to the forest. Alana gave a plum to",Ann,Velma,Issac
The market Gwen and Sheila went to had a cantaloupe. Gwen gave it to,Sheila,The market Melanie and Payton went to had a cantaloupe. Eduardo gave it to,Gina,Gwen,Melanie
"When Megan and Yolanda got a blackberry at the desert, Megan decided to give it to",Yolanda,"When Kaila and Alfonso got a blackberry at the desert, Meagan decided to give it to",Dewayne,Megan,Kaila
"When Rosemarie and Martha got a peach at the school, Martha decided to give it to",Rosemarie,"When Dillan and Helena got a peach at the school, Brycen decided to give it to",Hana,Martha,Helena
Friends Rebecca and Janet found a banana at the bar. Rebecca gave it to,Janet,Friends Anita and Edwin found a banana at the bar. River gave it to,Carolina,Rebecca,Anita
"When Rosa and Lee got a strawberry at the market, Lee decided to give it to",Rosa,"When Nikki and Jay got a strawberry at the market, Neil decided to give it to",Coleman,Lee,Jay
"While Jackie and Jessie were commuting to the bar, Jackie gave a pineapple to",Jessie,"While Kobe and Reagan were commuting to the bar, Teresa gave a pineapple to",Quinn,Jackie,Kobe
The park Jessie and Miriam went to had a grape. Miriam gave it to,Jessie,The park Holly and Ulises went to had a grape. Brianne gave it to,Brooklynn,Miriam,Ulises
The lake Mattie and Geneva went to had a cherry. Geneva gave it to,Mattie,The lake Mohamed and Iliana went to had a cherry. Katia gave it to,Dayton,Geneva,Iliana
Friends Kelly and Stacy found a papaya at the mountain. Kelly gave it to,Stacy,Friends Pierre and Mason found a papaya at the mountain. Maggie gave it to,Diego,Kelly,Pierre
"While Grace and Deanna were working at the cave, Grace gave a pineapple to",Deanna,"While Beatrice and Isabel were working at the cave, Camron gave a pineapple to",Janet,Grace,Beatrice
"Then, Evelyn and Fannie were working at the zoo. Fannie decided to give a plum to",Evelyn,"Then, Madeleine and Jeremiah were working at the zoo. Nikita decided to give a plum to",Gracie,Fannie,Jeremiah
Friends Theresa and Megan found a pineapple at the school. Megan gave it to,Theresa,Friends Conrad and Luis found a pineapple at the school. Lee gave it to,German,Megan,Luis
"Then, Yvette and Alyssa were thinking about going to the market. Yvette wanted to give a blueberry to",Alyssa,"Then, Alison and Gabriela were thinking about going to the market. Jackeline wanted to give a blueberry to",Deontae,Yvette,Alison
Friends Kristi and Harriet found a honeydew at the park. Kristi gave it to,Harriet,Friends Kierra and Simone found a honeydew at the park. Zander gave it to,Marina,Kristi,Kierra
"When Faye and Wilma got a cherry at the home, Faye decided to give the cherry to",Wilma,"When Frederick and Joelle got a cherry at the home, Elyssa decided to give the cherry to",Jalen,Faye,Frederick
Friends Jerry and Marsha found a pineapple at the river. Marsha gave it to,Jerry,Friends Albert and Dylan found a pineapple at the river. Melissa gave it to,Camila,Marsha,Dylan
"Afterwards, Jody and Jessie went to the home. Jody gave a strawberry to",Jessie,"Afterwards, Khalid and Emanuel went to the home. Mayra gave a strawberry to",Korey,Jody,Khalid
"Then, Marilyn and Mildred were thinking about going to the market. Marilyn wanted to give a plum to",Mildred,"Then, Draven and Sidney were thinking about going to the market. Shania wanted to give a plum to",Ronald,Marilyn,Draven
"After the lunch, Kim and Estelle went to the store. Estelle gave a coconut to",Kim,"After the lunch, Ty and Shannon went to the store. Kristofer gave a coconut to",Carmen,Estelle,Shannon
"When Leona and Shannon got a mango at the river, Shannon decided to give the mango to",Leona,"When Lane and Bryce got a mango at the river, Maritza decided to give the mango to",Grant,Shannon,Bryce
"Then, Susan and Ethel had a lot of fun at the forest. Ethel gave a apple to",Susan,"Then, Nick and Victor had a lot of fun at the forest. Willow gave a apple to",Lilian,Ethel,Victor
"When Jerry and Violet got a watermelon at the museum, Violet decided to give the watermelon to",Jerry,"When Taylor and Augustus got a watermelon at the museum, Dan decided to give the watermelon to",Naomi,Violet,Augustus
"Then, Pauline and Nellie went to the beach. Pauline gave a cantaloupe to",Nellie,"Then, Ella and Kirsten went to the beach. Brynn gave a cantaloupe to",Darrin,Pauline,Ella
"When Leigh and Alicia got a raspberry at the school, Leigh decided to give it to",Alicia,"When Nigel and Adriana got a raspberry at the school, Mitchell decided to give it to",Carolyn,Leigh,Nigel
"When Amanda and Eleanor got a coconut at the theater, Eleanor decided to give the coconut to",Amanda,"When Hannah and Sonia got a coconut at the theater, Christine decided to give the coconut to",Jason,Eleanor,Sonia
"Then, Yolanda and Geneva were thinking about going to the school. Geneva wanted to give a cherry to",Yolanda,"Then, Brittany and Genaro were thinking about going to the school. Darrin wanted to give a cherry to",Gretchen,Geneva,Genaro
"Afterwards, Dianne and Rebecca went to the lake. Rebecca gave a honeydew to",Dianne,"Afterwards, Cristopher and Nico went to the lake. Ezekiel gave a honeydew to",Douglas,Rebecca,Nico
The gym Grace and Lorraine went to had a coconut. Grace gave it to,Lorraine,The gym Darian and Aylin went to had a coconut. Garret gave it to,Kassidy,Grace,Darian
The park Yolanda and Melissa went to had a banana. Melissa gave it to,Yolanda,The park Briana and Kaci went to had a banana. Theodore gave it to,Conner,Melissa,Kaci
"After Mark and Megan went to the cave, Megan gave a honeydew to",Mark,"After Christian and Gaige went to the cave, Lloyd gave a honeydew to",Tony,Megan,Gaige
"While Rachel and Anne were working at the market, Rachel gave a apple to",Anne,"While Anna and Jerry were working at the market, Markus gave a apple to",Sammy,Rachel,Anna
"When Brian and Marilyn got a honeydew at the school, Marilyn decided to give the honeydew to",Brian,"When John and Shirley got a honeydew at the school, Rahul decided to give the honeydew to",Ali,Marilyn,Shirley
"While Doris and Lula were working at the shop, Lula gave a banana to",Doris,"While Jaime and Shania were working at the shop, Aleah gave a banana to",Deshawn,Lula,Shania
Friends Melissa and Stella found a papaya at the shop. Melissa gave it to,Stella,Friends Levi and Kaiden found a papaya at the shop. Helena gave it to,Misty,Melissa,Levi
"When Yvette and Marian got a cherry at the mountain, Yvette decided to give it to",Marian,"When Darius and Sienna got a cherry at the mountain, Deanna decided to give it to",Katy,Yvette,Darius
The cave Rosemarie and Violet went to had a kiwi. Violet gave it to,Rosemarie,The cave Kelton and Nadia went to had a kiwi. Macey gave it to,Elaina,Violet,Nadia
"After the lunch, Paula and Erika went to the museum. Erika gave a cantaloupe to",Paula,"After the lunch, Stanley and Kalyn went to the museum. Bryan gave a cantaloupe to",Adeline,Erika,Kalyn
"Then, Fannie and Jessie had a lot of fun at the gym. Fannie gave a grape to",Jessie,"Then, Jeremiah and Cameron had a lot of fun at the gym. Jada gave a grape to",Rasheed,Fannie,Jeremiah
Friends Marsha and Theresa found a raspberry at the park. Marsha gave it to,Theresa,Friends Mara and Dimitri found a raspberry at the park. Brisa gave it to,Marcos,Marsha,Mara
"After Agnes and Brandy went to the river, Agnes gave a cantaloupe to",Brandy,"After Shemar and Justine went to the river, Domenic gave a cantaloupe to",Mia,Agnes,Shemar
"Afterwards, Juana and Agnes went to the museum. Agnes gave a cherry to",Juana,"Afterwards, Nina and Luca went to the museum. Tatiana gave a cherry to",Thaddeus,Agnes,Luca
The school Kevin and Amanda went to had a grape. Kevin gave it to,Amanda,The school Jordan and Justus went to had a grape. Sean gave it to,Kurt,Kevin,Jordan
"While Amanda and Faye were commuting to the cave, Faye gave a apple to",Amanda,"While Blaine and Angelina were commuting to the cave, Martha gave a apple to",Dejah,Faye,Angelina
"Then, Loretta and Gwen were working at the desert. Gwen decided to give a cantaloupe to",Loretta,"Then, Ericka and Jarrett were working at the desert. Jadyn decided to give a cantaloupe to",Guy,Gwen,Jarrett
"Then, Jerry and Lee were thinking about going to the cave. Lee wanted to give a orange to",Jerry,"Then, Baby and William were thinking about going to the cave. Gordon wanted to give a orange to",Blair,Lee,William
Friends Irma and David found a watermelon at the bar. Irma gave it to,David,Friends Reagan and Hope found a watermelon at the bar. Wyatt gave it to,Elijah,Irma,Reagan
"After the lunch, Harriet and Richard went to the cave. Richard gave a watermelon to",Harriet,"After the lunch, Drake and Sarah went to the cave. Andrea gave a watermelon to",Sterling,Richard,Sarah
"Afterwards, Ethel and Lorraine went to the museum. Ethel gave a banana to",Lorraine,"Afterwards, Bryan and Daphne went to the museum. Clifton gave a banana to",Jalyn,Ethel,Bryan
"Afterwards, Sophia and Lorraine went to the museum. Sophia gave a orange to",Lorraine,"Afterwards, Armando and Arielle went to the museum. Raven gave a orange to",Maximillian,Sophia,Armando
"After Richard and Paula went to the river, Richard gave a grape to",Paula,"After Hope and Alexandra went to the river, Cindy gave a grape to",Omar,Richard,Hope
The cave Kristina and Juana went to had a papaya. Kristina gave it to,Juana,The cave Ronaldo and Jenna went to had a papaya. Mikayla gave it to,Stephon,Kristina,Ronaldo
"Afterwards, Ethel and Paula went to the forest. Ethel gave a orange to",Paula,"Afterwards, Freddy and Mitchell went to the forest. Kaylyn gave a orange to",Nia,Ethel,Freddy
"Then, Alicia and Martha went to the library. Martha gave a cherry to",Alicia,"Then, Mariela and Blaze went to the library. Riley gave a cherry to",Wyatt,Martha,Blaze
"While Ethel and Amanda were working at the gym, Ethel gave a papaya to",Amanda,"While Brett and Leila were working at the gym, Edgar gave a papaya to",Camren,Ethel,Brett
"After Velma and Ella went to the museum, Velma gave a blackberry to",Ella,"After Aja and Kathy went to the museum, Lourdes gave a blackberry to",Josiah,Velma,Aja
Friends Kathryn and Rachel found a watermelon at the home. Rachel gave it to,Kathryn,Friends Lorenzo and Josh found a watermelon at the home. Cody gave it to,Carlton,Rachel,Josh
"After Stacey and Leona went to the cafe, Stacey gave a peach to",Leona,"After Jairo and Kierra went to the cafe, Adam gave a peach to",Aniyah,Stacey,Jairo
"While Loretta and Richard were commuting to the museum, Richard gave a banana to",Loretta,"While Clifton and Jordan were commuting to the museum, Zane gave a banana to",Isaiah,Richard,Jordan
"When Brandy and Fannie got a banana at the beach, Fannie decided to give the banana to",Brandy,"When Antony and Kaylan got a banana at the beach, Mackenzie decided to give the banana to",Cara,Fannie,Kaylan
"While Loretta and Maggie were working at the home, Maggie gave a orange to",Loretta,"While Sylvia and Agustin were working at the home, Tanya gave a orange to",Aron,Maggie,Agustin
"Then, Pauline and Brandy had a lot of fun at the library. Pauline gave a raspberry to",Brandy,"Then, Joyce and Amari had a lot of fun at the library. Erick gave a raspberry to",Kavon,Pauline,Joyce
Friends Miriam and Anne found a apple at the forest. Miriam gave it to,Anne,Friends Kristen and Raven found a apple at the forest. Patience gave it to,Andrew,Miriam,Kristen
"Afterwards, Rosemarie and Rebecca went to the mountain. Rebecca gave a grape to",Rosemarie,"Afterwards, Shelby and Katy went to the mountain. Makenzie gave a grape to",Kian,Rebecca,Katy
"Then, Pat and Evelyn were thinking about going to the home. Pat wanted to give a peach to",Evelyn,"Then, Nick and Keegan were thinking about going to the home. Chris wanted to give a peach to",Amiya,Pat,Nick
"Then, Marian and Melissa were working at the gym. Melissa decided to give a banana to",Marian,"Then, Jill and Sierra were working at the gym. Robin decided to give a banana to",Carson,Melissa,Sierra
"While Marian and Fannie were working at the home, Fannie gave a pear to",Marian,"While Aisha and Hannah were working at the home, Treyvon gave a pear to",Harrison,Fannie,Hannah
"After the lunch, Megan and Sheila went to the river. Megan gave a apple to",Sheila,"After the lunch, Princess and Ralph went to the river. Stephan gave a apple to",Derek,Megan,Princess
"Then, Carol and Diana went to the desert. Carol gave a pineapple to",Diana,"Then, Lindsey and Hugo went to the desert. John gave a pineapple to",Elliott,Carol,Lindsey
"Then, Erika and Yolanda had a lot of fun at the school. Erika gave a mango to",Yolanda,"Then, Randy and Emilie had a lot of fun at the school. Rylie gave a mango to",Rocky,Erika,Randy
"When Evelyn and Shannon got a raspberry at the beach, Shannon decided to give it to",Evelyn,"When Maritza and Cesar got a raspberry at the beach, Jackson decided to give it to",Easton,Shannon,Cesar
"Then, Mona and Stella had a lot of fun at the lake. Mona gave a peach to",Stella,"Then, Tyson and Perry had a lot of fun at the lake. Shaylee gave a peach to",Kareem,Mona,Tyson
"Afterwards, Erika and Dianne went to the park. Erika gave a raspberry to",Dianne,"Afterwards, Adrian and Madisyn went to the park. Shawn gave a raspberry to",Kiana,Erika,Adrian
"Then, Ella and Leigh were working at the mountain. Leigh decided to give a papaya to",Ella,"Then, Christina and Allan were working at the mountain. Gillian decided to give a papaya to",Rosemary,Leigh,Allan
"After Kathryn and Velma went to the park, Velma gave a grape to",Kathryn,"After Ezekiel and Camren went to the park, Conor gave a grape to",Cory,Velma,Camren
"When Gwen and Melanie got a plum at the museum, Gwen decided to give it to",Melanie,"When Corey and Alana got a plum at the museum, Dakota decided to give it to",Sadie,Gwen,Corey
"Then, Mildred and Eleanor were working at the museum. Eleanor decided to give a pineapple to",Mildred,"Then, Keara and Kari were working at the museum. Justin decided to give a pineapple to",Ericka,Eleanor,Kari
"Afterwards, Maggie and Harriet went to the market. Maggie gave a cherry to",Harriet,"Afterwards, Maverick and Dennis went to the market. Anne gave a cherry to",Sonia,Maggie,Maverick
"Then, Natasha and Anne had a lot of fun at the store. Natasha gave a pineapple to",Anne,"Then, Jameson and Crystal had a lot of fun at the store. Frank gave a pineapple to",Ali,Natasha,Jameson
"Then, Marilyn and Charlene were thinking about going to the home. Marilyn wanted to give a plum to",Charlene,"Then, Aryanna and Damion were thinking about going to the home. Ralph wanted to give a plum to",Estrella,Marilyn,Aryanna
"While Brian and Yvette were working at the cave, Yvette gave a watermelon to",Brian,"While Andrew and Hayden were working at the cave, Heidi gave a watermelon to",Jarrod,Yvette,Hayden
"After Melanie and Grace went to the library, Grace gave a kiwi to",Melanie,"After Francisco and Lincoln went to the library, Pamela gave a kiwi to",Devin,Grace,Lincoln
"When Mona and Mark got a pear at the cave, Mona decided to give the pear to",Mark,"When Heaven and Kate got a pear at the cave, Shyann decided to give the pear to",Kori,Mona,Heaven
The gym Natasha and David went to had a banana. Natasha gave it to,David,The gym Winston and Jesus went to had a banana. Vanessa gave it to,Isabel,Natasha,Winston
"Then, Marian and Jackie went to the gym. Jackie gave a raspberry to",Marian,"Then, Freddy and Quentin went to the gym. Xander gave a raspberry to",Caleb,Jackie,Quentin
"Then, Jessica and Charlene were working at the lake. Jessica decided to give a peach to",Charlene,"Then, Houston and Edgar were working at the lake. Alexis decided to give a peach to",Cristian,Jessica,Houston
"Then, Shannon and Dianne were working at the beach. Shannon decided to give a cherry to",Dianne,"Then, Jessie and Isidro were working at the beach. Kobe decided to give a cherry to",Quentin,Shannon,Jessie
"Then, Bernadette and Heidi were working at the beach. Bernadette decided to give a orange to",Heidi,"Then, Lilliana and Nickolas were working at the beach. Rasheed decided to give a orange to",Kasandra,Bernadette,Lilliana
"Afterwards, Charlene and Erika went to the theater. Erika gave a papaya to",Charlene,"Afterwards, Leonardo and Dario went to the theater. John gave a papaya to",Tyrek,Erika,Dario
"While Rebecca and Rosemarie were working at the store, Rebecca gave a peach to",Rosemarie,"While Deandre and Cortez were working at the store, Erick gave a peach to",Ross,Rebecca,Deandre
"Then, Estelle and Juana were thinking about going to the cave. Estelle wanted to give a plum to",Juana,"Then, Allan and Juliana were thinking about going to the cave. Tyrese wanted to give a plum to",Braiden,Estelle,Allan
"When Richard and Melanie got a coconut at the school, Richard decided to give the coconut to",Melanie,"When Craig and Drew got a coconut at the school, Luis decided to give the coconut to",Simone,Richard,Craig
Friends Ginger and Pauline found a coconut at the bar. Pauline gave it to,Ginger,Friends Kyler and Melinda found a coconut at the bar. Maggie gave it to,Reilly,Pauline,Melinda
Friends Agnes and Mark found a honeydew at the market. Agnes gave it to,Mark,Friends Princess and Andre found a honeydew at the market. Cali gave it to,Carter,Agnes,Princess
Friends Eleanor and Alicia found a raspberry at the theater. Eleanor gave it to,Alicia,Friends Melissa and Olivia found a raspberry at the theater. Ryan gave it to,Natasha,Eleanor,Melissa
