ioi_sentences_input,ioi_sentences_labels,corr_ioi_sentences_input,corr_ioi_sentences_labels,ioi_sentences_labels_wrong,corr_ioi_sentences_labels_wrong
"After Faye and Charlene went to the park, Faye gave a mango to",Charlene,"After Carolina and Addison went to the park, Claudia gave a mango to",Elijah,Faye,Carolina
"When Nellie and Marilyn got a kiwi at the lake, Marilyn decided to give the kiwi to",Nellie,"When Thaddeus and Deondre got a kiwi at the lake, Maeve decided to give the kiwi to",Shannon,Marilyn,Deondre
The forest Velma and Alyssa went to had a pear. Velma gave it to,Alyssa,The forest Patricia and Marlen went to had a pear. Tyshawn gave it to,Phoebe,Velma,Patricia
"When Inez and Dianne got a blackberry at the school, Inez decided to give the blackberry to",Dianne,"When Dewayne and Darnell got a blackberry at the school, Kaiden decided to give the blackberry to",Bria,Inez,Dewayne
"When Alicia and Suzanne got a pineapple at the museum, Suzanne decided to give the pineapple to",Alicia,"When Jaxson and Clara got a pineapple at the museum, Hayden decided to give the pineapple to",Victoria,Suzanne,Clara
"Then, Janet and Yvette were working at the cave. Yvette decided to give a mango to",Janet,"Then, Trever and Irvin were working at the cave. Anton decided to give a mango to",Melissa,Yvette,Irvin
"When Rosa and Velma got a banana at the school, Velma decided to give it to",Rosa,"When Shannon and Kara got a banana at the school, Mackenzie decided to give it to",Helen,Velma,Kara
Friends Heidi and Megan found a banana at the park. Megan gave it to,Heidi,Friends Casey and Garrett found a banana at the park. Harley gave it to,Andrew,Megan,Garrett
"When William and Ethel got a apple at the desert, Ethel decided to give the apple to",William,"When India and Brenden got a apple at the desert, Andrea decided to give the apple to",Eve,Ethel,Brenden
"Then, Wilma and Richard were thinking about going to the mountain. Richard wanted to give a raspberry to",Wilma,"Then, Branden and Ali were thinking about going to the mountain. Adrian wanted to give a raspberry to",Julianna,Richard,Ali
"While Kristi and Yolanda were commuting to the lake, Kristi gave a grape to",Yolanda,"While Marian and Rodolfo were commuting to the lake, Emmalee gave a grape to",Kory,Kristi,Marian
Friends Sarah and Jessica found a mango at the home. Jessica gave it to,Sarah,Friends Ryan and George found a mango at the home. Tony gave it to,Brock,Jessica,George
"Then, Ethel and Diana were thinking about going to the library. Ethel wanted to give a strawberry to",Diana,"Then, Ashleigh and Chloe were thinking about going to the library. Houston wanted to give a strawberry to",Itzel,Ethel,Ashleigh
"Afterwards, Pat and Kathryn went to the forest. Pat gave a pear to",Kathryn,"Afterwards, Lewis and Ezekiel went to the forest. Dennis gave a pear to",Samantha,Pat,Lewis
"While Anne and Sophia were working at the river, Sophia gave a papaya to",Anne,"While Neil and Eliseo were working at the river, Brooks gave a papaya to",Irving,Sophia,Eliseo
"Then, Mildred and Lula were thinking about going to the lake. Lula wanted to give a honeydew to",Mildred,"Then, Alicia and Kody were thinking about going to the lake. Ellie wanted to give a honeydew to",Esmeralda,Lula,Kody
"While Inez and Wilma were working at the lake, Inez gave a pear to",Wilma,"While Dianna and Elmer were working at the lake, Camryn gave a pear to",Serena,Inez,Dianna
"While Mona and Lorraine were working at the store, Mona gave a blueberry to",Lorraine,"While Katie and Jackeline were working at the store, Brooks gave a blueberry to",Demetrius,Mona,Katie
"When Agnes and Rosemarie got a blackberry at the store, Agnes decided to give the blackberry to",Rosemarie,"When Thalia and Daija got a blackberry at the store, Adriana decided to give the blackberry to",Chantel,Agnes,Thalia
"While Geneva and Marian were commuting to the school, Geneva gave a kiwi to",Marian,"While Jackie and Harold were commuting to the school, Audrey gave a kiwi to",Brooks,Geneva,Jackie
Friends Carmen and Marsha found a cantaloupe at the theater. Marsha gave it to,Carmen,Friends Evelyn and Uriel found a cantaloupe at the theater. Jadyn gave it to,Paula,Marsha,Uriel
"When Marsha and Brian got a coconut at the gym, Marsha decided to give it to",Brian,"When Norma and Charles got a coconut at the gym, Markus decided to give it to",Liam,Marsha,Norma
"When Wilma and Miriam got a mango at the library, Miriam decided to give it to",Wilma,"When Emanuel and Javier got a mango at the library, Macey decided to give it to",Brandyn,Miriam,Javier
"Then, Velma and Deanna had a lot of fun at the museum. Velma gave a strawberry to",Deanna,"Then, Blaine and Finn had a lot of fun at the museum. Liliana gave a strawberry to",Kaleb,Velma,Blaine
"Then, Leigh and Chelsea went to the store. Leigh gave a orange to",Chelsea,"Then, Clara and Neal went to the store. Ivy gave a orange to",Lee,Leigh,Clara
"While Janet and Richard were working at the river, Richard gave a cantaloupe to",Janet,"While Forrest and Jackson were working at the river, Neal gave a cantaloupe to",Kimberly,Richard,Jackson
"While Ginger and Kari were commuting to the home, Kari gave a grape to",Ginger,"While Haley and Landen were commuting to the home, Skye gave a grape to",Anaya,Kari,Landen
"While Sophia and Janet were working at the home, Sophia gave a apple to",Janet,"While Kirstin and Heidi were working at the home, Clarence gave a apple to",Nathaniel,Sophia,Kirstin
"Afterwards, Stella and Kristina went to the market. Kristina gave a kiwi to",Stella,"Afterwards, Kaleigh and Ashton went to the market. Marc gave a kiwi to",Ignacio,Kristina,Ashton
Friends Diana and Shannon found a honeydew at the desert. Shannon gave it to,Diana,Friends Dustin and Owen found a honeydew at the desert. Mary gave it to,Marshall,Shannon,Owen
"Afterwards, Marian and Sophia went to the theater. Sophia gave a papaya to",Marian,"Afterwards, Molly and Keenan went to the theater. Raphael gave a papaya to",Brandon,Sophia,Keenan
The desert Ella and Richard went to had a blackberry. Richard gave it to,Ella,The desert Aron and Adam went to had a blackberry. Edgar gave it to,Alina,Richard,Adam
"After Irma and William went to the cafe, Irma gave a banana to",William,"After Aden and Joy went to the cafe, Lydia gave a banana to",Elias,Irma,Aden
"Then, Angie and Faye went to the desert. Faye gave a blueberry to",Angie,"Then, Meagan and Dejah went to the desert. Juliana gave a blueberry to",Cortney,Faye,Dejah
"While Alicia and Suzanne were working at the cave, Suzanne gave a papaya to",Alicia,"While Kaitlin and Lauren were working at the cave, Clint gave a papaya to",Naomi,Suzanne,Lauren
"Then, Doris and Velma went to the cafe. Velma gave a grape to",Doris,"Then, Philip and Joanna went to the cafe. Deshaun gave a grape to",Haylee,Velma,Joanna
"While Marsha and Sheila were commuting to the market, Marsha gave a raspberry to",Sheila,"While Jayla and Toni were commuting to the market, Alec gave a raspberry to",Ryan,Marsha,Jayla
"When Kim and Jessica got a cherry at the park, Jessica decided to give it to",Kim,"When London and Connor got a cherry at the park, Jace decided to give it to",Kendall,Jessica,Connor
"After the lunch, Carol and Lorraine went to the market. Carol gave a honeydew to",Lorraine,"After the lunch, Dexter and Cristina went to the market. Jabari gave a honeydew to",Frankie,Carol,Dexter
"Afterwards, Estelle and Evelyn went to the home. Estelle gave a kiwi to",Evelyn,"Afterwards, Danielle and Darnell went to the home. Martin gave a kiwi to",Kolby,Estelle,Danielle
"While Nellie and Kevin were commuting to the shop, Kevin gave a mango to",Nellie,"While Jaquan and Chance were commuting to the shop, Cydney gave a mango to",Tori,Kevin,Chance
"When Leigh and Jacqueline got a orange at the shop, Leigh decided to give it to",Jacqueline,"When Lucia and Brayden got a orange at the shop, Darius decided to give it to",Cara,Leigh,Lucia
"After the lunch, Ethel and Virginia went to the park. Ethel gave a apple to",Virginia,"After the lunch, Khalid and Kevin went to the park. Jace gave a apple to",Lesly,Ethel,Khalid
"Then, Paula and Miriam went to the gym. Miriam gave a apple to",Paula,"Then, Theresa and Devyn went to the gym. Johnny gave a apple to",Aidan,Miriam,Devyn
"Then, Melissa and Mildred were working at the museum. Melissa decided to give a strawberry to",Mildred,"Then, Nina and Kailyn were working at the museum. Kayla decided to give a strawberry to",Kori,Melissa,Nina
"Then, Geneva and Jessie were working at the home. Geneva decided to give a pineapple to",Jessie,"Then, Janet and Macie were working at the home. Nicholas decided to give a pineapple to",Sage,Geneva,Janet
"After the lunch, Harriet and Pat went to the gym. Pat gave a kiwi to",Harriet,"After the lunch, Maya and Gary went to the gym. Max gave a kiwi to",David,Pat,Gary
The library Lee and Loretta went to had a cantaloupe. Lee gave it to,Loretta,The library Josh and Gianni went to had a cantaloupe. Bailey gave it to,Angelo,Lee,Josh
"Afterwards, Kathryn and Leigh went to the cafe. Leigh gave a grape to",Kathryn,"Afterwards, Vaughn and Lane went to the cafe. Kirk gave a grape to",Laurel,Leigh,Lane
"Afterwards, Sophia and Stella went to the desert. Sophia gave a coconut to",Stella,"Afterwards, Shaniya and Shayne went to the desert. Dustin gave a coconut to",Danny,Sophia,Shaniya
"Then, Sarah and Rachel went to the beach. Rachel gave a blueberry to",Sarah,"Then, Paris and Virginia went to the beach. Savannah gave a blueberry to",Uriel,Rachel,Virginia
"Then, Lee and Janet were thinking about going to the museum. Lee wanted to give a raspberry to",Janet,"Then, Arthur and Eve were thinking about going to the museum. Lorenzo wanted to give a raspberry to",Earl,Lee,Arthur
"When David and Ethel got a honeydew at the zoo, Ethel decided to give it to",David,"When Davis and Lillian got a honeydew at the zoo, Brittany decided to give it to",Anton,Ethel,Lillian
"Afterwards, Mona and Anne went to the gym. Mona gave a coconut to",Anne,"Afterwards, Kaylah and Jessica went to the gym. Lyric gave a coconut to",Rita,Mona,Kaylah
"When Ginger and Grace got a honeydew at the gym, Grace decided to give it to",Ginger,"When Edwin and Colt got a honeydew at the gym, Philip decided to give it to",Abdullah,Grace,Colt
"While Agnes and Yolanda were working at the museum, Agnes gave a raspberry to",Yolanda,"While Micah and Cydney were working at the museum, Reginald gave a raspberry to",Imani,Agnes,Micah
"When Kristi and Charlene got a cantaloupe at the cafe, Kristi decided to give the cantaloupe to",Charlene,"When Easton and Karina got a cantaloupe at the cafe, Alize decided to give the cantaloupe to",Leticia,Kristi,Easton
"After Carol and Virginia went to the market, Carol gave a watermelon to",Virginia,"After Lindsey and Ross went to the market, Simon gave a watermelon to",Byron,Carol,Lindsey
"Then, Juana and Rebecca were working at the mountain. Rebecca decided to give a coconut to",Juana,"Then, Sonya and Winston were working at the mountain. Aisha decided to give a coconut to",Krista,Rebecca,Winston
The school Jacqueline and Jessica went to had a peach. Jessica gave it to,Jacqueline,The school Maddison and Alexander went to had a peach. Benjamin gave it to,Taryn,Jessica,Alexander
The store Mark and Jackie went to had a blueberry. Jackie gave it to,Mark,The store Amy and Dylon went to had a blueberry. Weston gave it to,Gordon,Jackie,Dylon
"While Rebecca and Chelsea were working at the shop, Rebecca gave a apple to",Chelsea,"While Harold and Davis were working at the shop, Randall gave a apple to",Hector,Rebecca,Harold
Friends Susan and Rebecca found a cherry at the home. Rebecca gave it to,Susan,Friends Keith and Sheila found a cherry at the home. Anne gave it to,Bennett,Rebecca,Sheila
"Then, Juana and Jackie went to the cave. Jackie gave a kiwi to",Juana,"Then, Denzel and Lawrence went to the cave. Erik gave a kiwi to",Princess,Jackie,Lawrence
Friends Leona and Pat found a cherry at the museum. Pat gave it to,Leona,Friends Derrick and Ben found a cherry at the museum. Reece gave it to,Liam,Pat,Ben
"Afterwards, Loretta and Richard went to the desert. Richard gave a peach to",Loretta,"Afterwards, Zachery and Mary went to the desert. Gillian gave a peach to",Shane,Richard,Mary
"Then, Kristi and Deanna went to the cafe. Kristi gave a blackberry to",Deanna,"Then, Ashton and Myah went to the cafe. Danny gave a blackberry to",Salma,Kristi,Ashton
"After the lunch, Jacqueline and Miriam went to the theater. Miriam gave a peach to",Jacqueline,"After the lunch, Nyasia and Elian went to the theater. Abbigail gave a peach to",Mason,Miriam,Elian
"Then, Natasha and Evelyn had a lot of fun at the park. Natasha gave a watermelon to",Evelyn,"Then, Marley and Sawyer had a lot of fun at the park. Trace gave a watermelon to",Haylee,Natasha,Marley
"While Kristi and William were commuting to the zoo, Kristi gave a kiwi to",William,"While Beau and Craig were commuting to the zoo, Jon gave a kiwi to",Kristine,Kristi,Beau
"After the lunch, Melissa and Sarah went to the library. Melissa gave a pear to",Sarah,"After the lunch, Kristin and David went to the library. Asia gave a pear to",Curtis,Melissa,Kristin
"After Amanda and Agnes went to the bar, Agnes gave a peach to",Amanda,"After Josef and Maya went to the bar, Bryant gave a peach to",Marlee,Agnes,Maya
"Then, Mark and Kelly had a lot of fun at the beach. Kelly gave a orange to",Mark,"Then, Emily and Adam had a lot of fun at the beach. Wayne gave a orange to",Ali,Kelly,Adam
"Then, Susan and Pat were working at the lake. Pat decided to give a apple to",Susan,"Then, John and Asia were working at the lake. Jasper decided to give a apple to",Jackson,Pat,Asia
"While Leigh and Mattie were working at the theater, Leigh gave a banana to",Mattie,"While Lane and Luz were working at the theater, Ross gave a banana to",Phoenix,Leigh,Lane
"Then, Alicia and Pat had a long argument, and afterwards Pat said to",Alicia,"Then, Isaias and Richard had a long argument, and afterwards Hugh said to",Turner,Pat,Richard
"When Paula and Shannon got a grape at the cave, Shannon decided to give the grape to",Paula,"When Jonah and Emerald got a grape at the cave, Shirley decided to give the grape to",Christopher,Shannon,Emerald
"While Sarah and Stacey were commuting to the theater, Stacey gave a cantaloupe to",Sarah,"While Josh and Kristen were commuting to the theater, Noah gave a cantaloupe to",Kori,Stacey,Kristen
"When Nellie and Alice got a honeydew at the theater, Alice decided to give the honeydew to",Nellie,"When Viviana and Tyler got a honeydew at the theater, Chyna decided to give the honeydew to",Camila,Alice,Tyler
"After Janet and Fannie went to the school, Fannie gave a watermelon to",Janet,"After Bobby and Reanna went to the school, Lilian gave a watermelon to",Randall,Fannie,Reanna
"While Janet and Erika were working at the desert, Erika gave a pear to",Janet,"While Jarod and Teresa were working at the desert, Deja gave a pear to",Mark,Erika,Teresa
"Then, Loretta and Kari had a lot of fun at the lake. Kari gave a pineapple to",Loretta,"Then, Maiya and Elise had a lot of fun at the lake. Jabari gave a pineapple to",Gabriella,Kari,Elise
"After Kristi and Stella went to the museum, Kristi gave a banana to",Stella,"After Braeden and Cyrus went to the museum, Stephanie gave a banana to",Ramon,Kristi,Braeden
"Then, Mattie and Kevin were thinking about going to the theater. Kevin wanted to give a grape to",Mattie,"Then, Gavin and Jon were thinking about going to the theater. Sheridan wanted to give a grape to",Osvaldo,Kevin,Jon
Friends Yvette and Mark found a blackberry at the cave. Yvette gave it to,Mark,Friends Elias and Marie found a blackberry at the cave. Kolton gave it to,Josue,Yvette,Elias
"When Melissa and Brandy got a plum at the home, Melissa decided to give the plum to",Brandy,"When Natalie and Theresa got a plum at the home, Chaya decided to give the plum to",Malachi,Melissa,Natalie
"Then, Mattie and Eleanor had a lot of fun at the store. Eleanor gave a peach to",Mattie,"Then, Casandra and Jesse had a lot of fun at the store. Santiago gave a peach to",Mohammed,Eleanor,Jesse
"When Ethel and Rosa got a pineapple at the mountain, Ethel decided to give the pineapple to",Rosa,"When Heather and Gaige got a pineapple at the mountain, Axel decided to give the pineapple to",Jabari,Ethel,Heather
"Then, Irma and Stacy were thinking about going to the park. Irma wanted to give a banana to",Stacy,"Then, Alexis and Uriel were thinking about going to the park. Nelson wanted to give a banana to",Kelly,Irma,Alexis
The museum Theresa and Grace went to had a cherry. Grace gave it to,Theresa,The museum Cyrus and Harold went to had a cherry. Alec gave it to,Henry,Grace,Harold
"After Wilma and Pat went to the cave, Pat gave a coconut to",Wilma,"After Hana and Jeff went to the cave, Angelica gave a coconut to",Andreas,Pat,Jeff
"After the lunch, Marsha and Harriet went to the beach. Marsha gave a blueberry to",Harriet,"After the lunch, Dominic and Jonas went to the beach. Allison gave a blueberry to",Luisa,Marsha,Dominic
"While Jessica and Marian were commuting to the bar, Jessica gave a cantaloupe to",Marian,"While Carl and Frederick were commuting to the bar, Nancy gave a cantaloupe to",Cody,Jessica,Carl
"Then, Jacqueline and Pat were working at the cave. Pat decided to give a peach to",Jacqueline,"Then, Jovani and Unique were working at the cave. Pedro decided to give a peach to",Chelsey,Pat,Unique
"After Doris and Maggie went to the school, Maggie gave a cherry to",Doris,"After Velma and Esperanza went to the school, Courtney gave a cherry to",Jeremiah,Maggie,Esperanza
"After Heidi and Yvette went to the gym, Yvette gave a honeydew to",Heidi,"After Jackie and Lara went to the gym, Lizette gave a honeydew to",Kelsey,Yvette,Lara
"Afterwards, Fannie and Mildred went to the park. Fannie gave a cherry to",Mildred,"Afterwards, Tyrek and Heriberto went to the park. Aliza gave a cherry to",Madison,Fannie,Tyrek
"When Yolanda and Gwen got a cantaloupe at the cave, Gwen decided to give it to",Yolanda,"When Jaqueline and Karson got a cantaloupe at the cave, Alonzo decided to give it to",Lyric,Gwen,Karson
"Then, Anita and Natasha went to the store. Natasha gave a peach to",Anita,"Then, Edgar and Kali went to the store. Riley gave a peach to",Paris,Natasha,Kali
"Then, Sophia and Evelyn were thinking about going to the lake. Sophia wanted to give a peach to",Evelyn,"Then, Kasandra and Kaitlynn were thinking about going to the lake. Susan wanted to give a peach to",Landen,Sophia,Kasandra
"While Lee and David were working at the forest, Lee gave a kiwi to",David,"While Andre and Asia were working at the forest, Cody gave a kiwi to",Sara,Lee,Andre
"While Rosa and Marilyn were working at the shop, Marilyn gave a coconut to",Rosa,"While Ellie and Kylie were working at the shop, Austin gave a coconut to",Hayden,Marilyn,Kylie
"Then, Jacqueline and Ethel went to the zoo. Ethel gave a honeydew to",Jacqueline,"Then, Estevan and Jayden went to the zoo. Kameron gave a honeydew to",Paris,Ethel,Jayden
"While Charlene and Agnes were working at the cave, Agnes gave a orange to",Charlene,"While Dustin and Chloe were working at the cave, Colten gave a orange to",Eve,Agnes,Chloe
"Then, Irma and Anne were working at the desert. Irma decided to give a strawberry to",Anne,"Then, Eli and Ali were working at the desert. Casey decided to give a strawberry to",Kara,Irma,Eli
"Then, David and Shannon had a lot of fun at the cave. Shannon gave a cherry to",David,"Then, Ryan and Paige had a lot of fun at the cave. Lydia gave a cherry to",Grayson,Shannon,Paige
"While Agnes and Dianne were working at the cave, Agnes gave a banana to",Dianne,"While Riley and Lizette were working at the cave, Peyton gave a banana to",Madeline,Agnes,Riley
The beach Paula and Richard went to had a banana. Richard gave it to,Paula,The beach Melisa and Jeremy went to had a banana. Valerie gave it to,Isis,Richard,Jeremy
"Then, Megan and Janet had a lot of fun at the library. Megan gave a papaya to",Janet,"Then, Denise and Ariel had a lot of fun at the library. Warren gave a papaya to",Corey,Megan,Denise
"While Kristi and Jacqueline were working at the school, Kristi gave a raspberry to",Jacqueline,"While Megan and Alyson were working at the school, Shayla gave a raspberry to",Shawna,Kristi,Megan
"Then, Alyssa and Agnes had a lot of fun at the store. Agnes gave a cantaloupe to",Alyssa,"Then, Brielle and Antoine had a lot of fun at the store. Jett gave a cantaloupe to",Lizbeth,Agnes,Antoine
The library Alicia and Suzanne went to had a kiwi. Suzanne gave it to,Alicia,The library Elyse and Reese went to had a kiwi. Owen gave it to,Jeremiah,Suzanne,Reese
"When Stacy and Martha got a apple at the cafe, Martha decided to give the apple to",Stacy,"When Meredith and Byron got a apple at the cafe, Natasha decided to give the apple to",Cameron,Martha,Byron
"After the lunch, Kristi and David went to the mountain. Kristi gave a pineapple to",David,"After the lunch, Baylee and Madison went to the mountain. Jameson gave a pineapple to",Carson,Kristi,Baylee
"After the lunch, Ginger and Leigh went to the theater. Leigh gave a pear to",Ginger,"After the lunch, Brendan and Danielle went to the theater. Reese gave a pear to",Karl,Leigh,Danielle
"Afterwards, Diana and Irma went to the bar. Irma gave a cherry to",Diana,"Afterwards, Alma and Deja went to the bar. Elise gave a cherry to",Ann,Irma,Deja
"Then, Mona and Amanda were working at the home. Mona decided to give a raspberry to",Amanda,"Then, Jayde and Carson were working at the home. Lesley decided to give a raspberry to",Charlotte,Mona,Jayde
"Then, Sarah and Stacey had a lot of fun at the river. Stacey gave a orange to",Sarah,"Then, Robert and Anika had a lot of fun at the river. Damon gave a orange to",Gianna,Stacey,Anika
"Afterwards, Grace and Loretta went to the market. Grace gave a strawberry to",Loretta,"Afterwards, Xavier and Bridget went to the market. Mollie gave a strawberry to",Wilson,Grace,Xavier
The mountain Jessica and Juana went to had a coconut. Jessica gave it to,Juana,The mountain Terry and Ellen went to had a coconut. Jamar gave it to,Aubrey,Jessica,Terry
"While Mona and Brian were commuting to the museum, Mona gave a raspberry to",Brian,"While Roberto and Jerry were commuting to the museum, Korey gave a raspberry to",Mathew,Mona,Roberto
"Then, Kim and Martha had a lot of fun at the lake. Martha gave a pear to",Kim,"Then, Will and Nina had a lot of fun at the lake. Allen gave a pear to",Cameron,Martha,Nina
"Then, Martha and Jerry were working at the store. Martha decided to give a pear to",Jerry,"Then, Porter and Russell were working at the store. Haley decided to give a pear to",Ethan,Martha,Porter
"Then, Jody and Nellie were thinking about going to the library. Jody wanted to give a peach to",Nellie,"Then, Willow and Ibrahim were thinking about going to the library. Cecelia wanted to give a peach to",Kristofer,Jody,Willow
"After Gwen and Sarah went to the shop, Gwen gave a apple to",Sarah,"After Erika and Israel went to the shop, Hope gave a apple to",Blanca,Gwen,Erika
"While Mattie and Irma were working at the cafe, Irma gave a mango to",Mattie,"While Brent and Reuben were working at the cafe, Diane gave a mango to",Trent,Irma,Reuben
"After Miriam and Anita went to the shop, Miriam gave a grape to",Anita,"After Kathy and Damion went to the shop, Javier gave a grape to",Julien,Miriam,Kathy
"When Grace and Virginia got a cherry at the mountain, Grace decided to give it to",Virginia,"When Lacey and Warren got a cherry at the mountain, Kennedy decided to give it to",Emily,Grace,Lacey
"Then, Alice and Mark were thinking about going to the lake. Alice wanted to give a blueberry to",Mark,"Then, Dean and Clark were thinking about going to the lake. Sterling wanted to give a blueberry to",Martin,Alice,Dean
"After Teresa and Stella went to the desert, Teresa gave a honeydew to",Stella,"After Clare and Ellen went to the desert, Dayton gave a honeydew to",Salvador,Teresa,Clare
"Afterwards, Faye and Marian went to the mountain. Faye gave a papaya to",Marian,"Afterwards, Charlotte and Fatima went to the mountain. Melisa gave a papaya to",Jaime,Faye,Charlotte
The park Charlene and Bernadette went to had a pear. Bernadette gave it to,Charlene,The park Reese and Jaelyn went to had a pear. Camila gave it to,Aiyana,Bernadette,Jaelyn
"Then, Jessie and Megan were working at the school. Megan decided to give a honeydew to",Jessie,"Then, Tara and Elijah were working at the school. Sheila decided to give a honeydew to",Ivy,Megan,Elijah
"When Kari and Susan got a pear at the forest, Kari decided to give it to",Susan,"When Tevin and Josh got a pear at the forest, Kelli decided to give it to",Kobe,Kari,Tevin
Friends Stella and Megan found a raspberry at the park. Megan gave it to,Stella,Friends Caleb and Christine found a raspberry at the park. Ellie gave it to,Olivia,Megan,Christine
"While Angie and Lula were commuting to the market, Lula gave a banana to",Angie,"While Marisa and Emerald were commuting to the market, Fabiola gave a banana to",Katelynn,Lula,Emerald
"While Chelsea and Sonia were working at the beach, Sonia gave a pear to",Chelsea,"While Elsa and Jenna were working at the beach, Fiona gave a pear to",Kenya,Sonia,Jenna
Friends Kelly and Anne found a coconut at the library. Kelly gave it to,Anne,Friends Marco and Tony found a coconut at the library. Cameron gave it to,Steven,Kelly,Marco
"Then, Mildred and Richard were thinking about going to the shop. Richard wanted to give a cantaloupe to",Mildred,"Then, Emilio and Virginia were thinking about going to the shop. Alexandrea wanted to give a cantaloupe to",Danielle,Richard,Virginia
"Afterwards, Inez and William went to the gym. Inez gave a honeydew to",William,"Afterwards, Deondre and Craig went to the gym. Antony gave a honeydew to",Abraham,Inez,Deondre
The mountain Natasha and Ginger went to had a coconut. Natasha gave it to,Ginger,The mountain Jaime and Carly went to had a coconut. Sidney gave it to,Karl,Natasha,Jaime
"Then, Leigh and Kathryn were thinking about going to the forest. Leigh wanted to give a kiwi to",Kathryn,"Then, Byron and Geoffrey were thinking about going to the forest. Reagan wanted to give a kiwi to",Luke,Leigh,Byron
"Then, Yolanda and Carol were working at the forest. Carol decided to give a blackberry to",Yolanda,"Then, Kareem and Anissa were working at the forest. Reagan decided to give a blackberry to",Donavon,Carol,Anissa
"After Janet and Kelly went to the bar, Kelly gave a banana to",Janet,"After Jonas and Georgia went to the bar, Bailey gave a banana to",Hanna,Kelly,Georgia
"Afterwards, Ella and Erika went to the theater. Erika gave a pear to",Ella,"Afterwards, Marisol and Adan went to the theater. Johnny gave a pear to",Efren,Erika,Adan
"Then, Suzanne and Charlene went to the cave. Suzanne gave a pear to",Charlene,"Then, Christa and Sandy went to the cave. Harley gave a pear to",Alexandrea,Suzanne,Christa
"Then, Kristi and William had a lot of fun at the home. Kristi gave a pear to",William,"Then, Autumn and Carter had a lot of fun at the home. Landen gave a pear to",Breanne,Kristi,Autumn
"After the lunch, Velma and Alicia went to the market. Velma gave a blueberry to",Alicia,"After the lunch, Michaela and Jaquan went to the market. Russell gave a blueberry to",Celina,Velma,Michaela
The store Kari and Sarah went to had a apple. Kari gave it to,Sarah,The store Julian and Victoria went to had a apple. Luisa gave it to,Kaley,Kari,Julian
"Then, Sarah and Marilyn had a lot of fun at the desert. Marilyn gave a watermelon to",Sarah,"Then, Ian and Heriberto had a lot of fun at the desert. Francis gave a watermelon to",Zion,Marilyn,Heriberto
"Then, Rosemarie and Marilyn were working at the forest. Marilyn decided to give a mango to",Rosemarie,"Then, Roxanne and Hassan were working at the forest. Kasandra decided to give a mango to",Royce,Marilyn,Hassan
"When Inez and Alyssa got a papaya at the museum, Inez decided to give the papaya to",Alyssa,"When Dianna and Antoinette got a papaya at the museum, Darnell decided to give the papaya to",Lacey,Inez,Dianna
"While Ella and Megan were working at the lake, Megan gave a banana to",Ella,"While Leanna and Scarlett were working at the lake, Ashley gave a banana to",Meghan,Megan,Scarlett
"When Irma and Alyssa got a apple at the river, Irma decided to give the apple to",Alyssa,"When Kian and Tianna got a apple at the river, Harold decided to give the apple to",Jaiden,Irma,Kian
