ioi_sentences_input,ioi_sentences_labels,corr_ioi_sentences_input,corr_ioi_sentences_labels,ioi_sentences_labels_wrong,corr_ioi_sentences_labels_wrong
"When David and Mona got a blueberry at the river, Mona decided to give the blueberry to",David,"When Luke and Halie got a blueberry at the river, Vernon decided to give the blueberry to",Chyna,Mona,Halie
"While Jessica and Janet were commuting to the desert, Jessica gave a honeydew to",Janet,"While Ross and Kenny were commuting to the desert, Elliot gave a honeydew to",Essence,Jessica,Ross
"Afterwards, Rosa and Violet went to the mountain. Violet gave a cantaloupe to",Rosa,"Afterwards, Tracy and Porter went to the mountain. Matthew gave a cantaloupe to",Julian,Violet,Porter
"Then, Estelle and Jessie were thinking about going to the river. Estelle wanted to give a papaya to",Jessie,"Then, Ralph and Savanna were thinking about going to the river. Gerald wanted to give a papaya to",Conner,Estelle,Ralph
"After the lunch, Lula and Chelsea went to the museum. Lula gave a coconut to",Chelsea,"After the lunch, Eliana and Jonathan went to the museum. Candice gave a coconut to",Keanu,Lula,Eliana
"Afterwards, Rosa and Faye went to the shop. Faye gave a mango to",Rosa,"Afterwards, Dangelo and Brooklynn went to the shop. Aidan gave a mango to",Ebony,Faye,Brooklynn
"When William and Mona got a pineapple at the store, Mona decided to give the pineapple to",William,"When Fred and Belen got a pineapple at the store, Glen decided to give the pineapple to",Shane,Mona,Belen
"Then, Alice and Kathryn were working at the bar. Alice decided to give a strawberry to",Kathryn,"Then, Victoria and Zoie were working at the bar. Damian decided to give a strawberry to",Todd,Alice,Victoria
"Then, Megan and Alicia had a lot of fun at the bar. Megan gave a orange to",Alicia,"Then, Camden and Davion had a lot of fun at the bar. Gabriel gave a orange to",Chandler,Megan,Camden
Friends Carol and Kim found a mango at the market. Carol gave it to,Kim,Friends Kenneth and Ari found a mango at the market. Ashton gave it to,Victor,Carol,Kenneth
"While Paula and Irma were commuting to the forest, Irma gave a plum to",Paula,"While Jasper and Mercedes were commuting to the forest, Barrett gave a plum to",Adrian,Irma,Mercedes
"After the lunch, Sarah and Erika went to the desert. Erika gave a plum to",Sarah,"After the lunch, Joy and Oscar went to the desert. Kaylah gave a plum to",Jamie,Erika,Oscar
"Then, Shannon and Kathryn were working at the lake. Shannon decided to give a honeydew to",Kathryn,"Then, Jamir and Cristobal were working at the lake. Martha decided to give a honeydew to",Pierce,Shannon,Jamir
"Afterwards, Pat and Paula went to the market. Pat gave a cantaloupe to",Paula,"Afterwards, Ari and Abdullah went to the market. Joyce gave a cantaloupe to",Rita,Pat,Ari
"After the lunch, Chelsea and Kelly went to the theater. Kelly gave a blueberry to",Chelsea,"After the lunch, Virginia and Prince went to the theater. Blaze gave a blueberry to",Lane,Kelly,Prince
Friends Charlene and Maggie found a coconut at the river. Maggie gave it to,Charlene,Friends Shania and Giselle found a coconut at the river. Gavin gave it to,Julio,Maggie,Giselle
"Afterwards, Megan and Alyssa went to the market. Megan gave a grape to",Alyssa,"Afterwards, Emanuel and Shyann went to the market. Selena gave a grape to",Chaim,Megan,Emanuel
"Then, Violet and Theresa were thinking about going to the cafe. Violet wanted to give a plum to",Theresa,"Then, Clay and Everett were thinking about going to the cafe. Trey wanted to give a plum to",Khalid,Violet,Clay
"After the lunch, Maggie and Mark went to the cave. Maggie gave a coconut to",Mark,"After the lunch, Aiyana and Anthony went to the cave. Julius gave a coconut to",Victoria,Maggie,Aiyana
"After the lunch, Jerry and Maggie went to the beach. Maggie gave a mango to",Jerry,"After the lunch, Paris and Peyton went to the beach. Lloyd gave a mango to",Shirley,Maggie,Peyton
Friends Brian and Sonia found a orange at the park. Sonia gave it to,Brian,Friends Alan and Daryl found a orange at the park. Lindsay gave it to,Julio,Sonia,Daryl
"Then, Sonia and Evelyn went to the zoo. Sonia gave a blueberry to",Evelyn,"Then, Devan and Iyana went to the zoo. Tessa gave a blueberry to",Carl,Sonia,Devan
"Then, Brian and Marilyn went to the zoo. Marilyn gave a kiwi to",Brian,"Then, Raven and Nathanial went to the zoo. Aaron gave a kiwi to",Devin,Marilyn,Nathanial
"When Harriet and Irma got a raspberry at the library, Irma decided to give it to",Harriet,"When Jesse and Leah got a raspberry at the library, Russell decided to give it to",Jacob,Irma,Leah
The bar Mona and Nellie went to had a orange. Mona gave it to,Nellie,The bar Brock and Guadalupe went to had a orange. Norma gave it to,Rocio,Mona,Brock
"Then, Dianne and Megan were thinking about going to the gym. Megan wanted to give a cherry to",Dianne,"Then, Jabari and Caroline were thinking about going to the gym. Ricky wanted to give a cherry to",Ben,Megan,Caroline
"While Martha and Heidi were commuting to the bar, Martha gave a strawberry to",Heidi,"While Kurt and Cassandra were commuting to the bar, Tobias gave a strawberry to",Brad,Martha,Kurt
"Then, Shannon and Harriet went to the bar. Shannon gave a cantaloupe to",Harriet,"Then, Abram and Alexandra went to the bar. Wesley gave a cantaloupe to",Caleb,Shannon,Abram
"Then, Jody and Leona went to the zoo. Jody gave a apple to",Leona,"Then, Delaney and Kaden went to the zoo. Violet gave a apple to",Norma,Jody,Delaney
"Afterwards, Sophia and Alyssa went to the school. Sophia gave a watermelon to",Alyssa,"Afterwards, Isabelle and Davion went to the school. Asher gave a watermelon to",Tyrek,Sophia,Isabelle
"Afterwards, Mona and Rosemarie went to the gym. Mona gave a watermelon to",Rosemarie,"Afterwards, Antonia and Tabitha went to the gym. Camille gave a watermelon to",Justine,Mona,Antonia
"Then, Rosa and Marilyn were working at the library. Marilyn decided to give a pineapple to",Rosa,"Then, Frankie and Adrianna were working at the library. Ralph decided to give a pineapple to",Jack,Marilyn,Adrianna
"After Shannon and Janet went to the beach, Shannon gave a mango to",Janet,"After Leonard and Derek went to the beach, Angel gave a mango to",Ali,Shannon,Leonard
"Then, Kari and Diana went to the store. Kari gave a peach to",Diana,"Then, Jamison and Derick went to the store. Patricia gave a peach to",Adonis,Kari,Jamison
"Then, Kim and Velma were thinking about going to the zoo. Velma wanted to give a apple to",Kim,"Then, Roman and Mitchell were thinking about going to the zoo. Aliya wanted to give a apple to",Carla,Velma,Mitchell
"When Amanda and Carol got a mango at the store, Carol decided to give it to",Amanda,"When Amber and Darius got a mango at the store, Lia decided to give it to",Bobby,Carol,Darius
"When Theresa and Kristi got a grape at the store, Kristi decided to give it to",Theresa,"When Mara and Kai got a grape at the store, Branden decided to give it to",Karlie,Kristi,Kai
"Then, Stella and Mona had a lot of fun at the shop. Mona gave a banana to",Stella,"Then, Amanda and Aidan had a lot of fun at the shop. Joanna gave a banana to",Delia,Mona,Aidan
"After Heidi and Carol went to the home, Carol gave a cantaloupe to",Heidi,"After Colt and Damien went to the home, Ellen gave a cantaloupe to",Kennedy,Carol,Damien
"After the lunch, Ethel and Harriet went to the shop. Ethel gave a mango to",Harriet,"After the lunch, Chyna and Oliver went to the shop. Jason gave a mango to",Kasandra,Ethel,Chyna
"After the lunch, David and Richard went to the park. Richard gave a kiwi to",David,"After the lunch, Cole and Robin went to the park. Augustus gave a kiwi to",Lindsay,Richard,Robin
"When Lee and Susan got a honeydew at the store, Lee decided to give it to",Susan,"When Anna and Stephen got a honeydew at the store, Sandra decided to give it to",Noah,Lee,Anna
"When Kristina and Mattie got a peach at the home, Kristina decided to give it to",Mattie,"When Conner and Daisha got a peach at the home, Kelsey decided to give it to",Griffin,Kristina,Conner
"Then, Kim and Melissa were working at the bar. Melissa decided to give a pear to",Kim,"Then, Kyle and Evan were working at the bar. Grant decided to give a pear to",Whitney,Melissa,Evan
"When Bernadette and Deanna got a kiwi at the mountain, Bernadette decided to give the kiwi to",Deanna,"When Deontae and Darien got a kiwi at the mountain, Zechariah decided to give the kiwi to",Felicity,Bernadette,Deontae
"While Sonia and Angie were working at the forest, Sonia gave a orange to",Angie,"While Jaden and Carson were working at the forest, Jeffery gave a orange to",Alexis,Sonia,Jaden
"While Marsha and Carmen were commuting to the bar, Marsha gave a cherry to",Carmen,"While Valentin and Brianna were commuting to the bar, Brady gave a cherry to",Daryl,Marsha,Valentin
"Afterwards, Lee and William went to the mountain. Lee gave a blueberry to",William,"Afterwards, Asia and Susan went to the mountain. Willow gave a blueberry to",Morgan,Lee,Asia
"Then, Rosa and Violet went to the cafe. Violet gave a mango to",Rosa,"Then, Seamus and Daniela went to the cafe. Devon gave a mango to",Edgar,Violet,Daniela
"Afterwards, Amanda and Lee went to the lake. Lee gave a grape to",Amanda,"Afterwards, Wade and Alex went to the lake. Molly gave a grape to",Casey,Lee,Alex
"Then, Miriam and Paula had a lot of fun at the museum. Miriam gave a blackberry to",Paula,"Then, Jaida and Susana had a lot of fun at the museum. George gave a blackberry to",Scarlett,Miriam,Jaida
"Then, Harriet and Carol had a lot of fun at the desert. Carol gave a pineapple to",Harriet,"Then, Emanuel and Lia had a lot of fun at the desert. Ashley gave a pineapple to",Rick,Carol,Lia
"Then, Stacey and Anne were working at the cave. Stacey decided to give a pineapple to",Anne,"Then, Catherine and Harry were working at the cave. Dennis decided to give a pineapple to",Jaxson,Stacey,Catherine
"Then, Richard and Kathryn went to the river. Richard gave a plum to",Kathryn,"Then, Ian and Shayla went to the river. Jerome gave a plum to",Jarrett,Richard,Ian
The desert Ethel and Sarah went to had a cherry. Ethel gave it to,Sarah,The desert Jenna and Gordon went to had a cherry. Shelby gave it to,Rodney,Ethel,Jenna
"After Lorraine and Suzanne went to the shop, Suzanne gave a honeydew to",Lorraine,"After Lizette and Dion went to the shop, Anya gave a honeydew to",Parker,Suzanne,Dion
"After the lunch, Deanna and Megan went to the cafe. Megan gave a honeydew to",Deanna,"After the lunch, Meghan and Miriam went to the cafe. Sheldon gave a honeydew to",Fernanda,Megan,Miriam
"Then, Brandy and Rachel went to the school. Rachel gave a kiwi to",Brandy,"Then, Adrien and Joseph went to the school. Chelsea gave a kiwi to",Yasmin,Rachel,Joseph
"While Ella and Alice were working at the cafe, Alice gave a peach to",Ella,"While Lena and Luke were working at the cafe, Gia gave a peach to",Erica,Alice,Luke
"While Gwen and Heidi were commuting to the store, Gwen gave a kiwi to",Heidi,"While Sasha and Adonis were commuting to the store, Pierre gave a kiwi to",Karlie,Gwen,Sasha
"Then, Angie and Fannie were working at the cafe. Fannie decided to give a raspberry to",Angie,"Then, Cassie and Jacoby were working at the cafe. Maura decided to give a raspberry to",Montana,Fannie,Jacoby
"After the lunch, Faye and Nellie went to the zoo. Faye gave a pear to",Nellie,"After the lunch, Sadie and Darlene went to the zoo. Kaleigh gave a pear to",Katelyn,Faye,Sadie
"While Faye and Loretta were commuting to the school, Faye gave a mango to",Loretta,"While Joan and Kaitlyn were commuting to the school, Ericka gave a mango to",Reuben,Faye,Joan
"After the lunch, Mona and Evelyn went to the desert. Mona gave a cherry to",Evelyn,"After the lunch, Ethan and Trenton went to the desert. Abdullah gave a cherry to",Katia,Mona,Ethan
"Then, Harriet and Jackie had a lot of fun at the cave. Jackie gave a blackberry to",Harriet,"Then, Ahmad and Byron had a lot of fun at the cave. Axel gave a blackberry to",Marina,Jackie,Byron
Friends Angie and Marsha found a banana at the library. Marsha gave it to,Angie,Friends Baylee and Kaiden found a banana at the library. Kristopher gave it to,Cindy,Marsha,Kaiden
"After Ella and Rachel went to the forest, Rachel gave a banana to",Ella,"After Robyn and Jean went to the forest, Laney gave a banana to",Ronnie,Rachel,Jean
"Then, Stacey and Alyssa were thinking about going to the river. Stacey wanted to give a raspberry to",Alyssa,"Then, Duncan and Alexandrea were thinking about going to the river. Desirae wanted to give a raspberry to",Robyn,Stacey,Duncan
"While Jacqueline and Fannie were working at the library, Fannie gave a strawberry to",Jacqueline,"While Demetrius and Randall were working at the library, Jaquan gave a strawberry to",Belen,Fannie,Randall
"While Lee and Lorraine were commuting to the river, Lee gave a peach to",Lorraine,"While Anderson and Jamarcus were commuting to the river, Malia gave a peach to",Macy,Lee,Anderson
"When Kristi and Ella got a kiwi at the home, Kristi decided to give the kiwi to",Ella,"When Dandre and Anaya got a kiwi at the home, Diego decided to give the kiwi to",Braiden,Kristi,Dandre
"Then, Eleanor and Mark were working at the home. Eleanor decided to give a grape to",Mark,"Then, Judith and Tony were working at the home. London decided to give a grape to",Sam,Eleanor,Judith
"When Nellie and Faye got a pear at the school, Faye decided to give the pear to",Nellie,"When Aimee and Hayley got a pear at the school, Dillion decided to give the pear to",Ramiro,Faye,Hayley
"When Kim and Maggie got a coconut at the store, Maggie decided to give the coconut to",Kim,"When Albert and Abril got a coconut at the store, Carl decided to give the coconut to",America,Maggie,Abril
"When Kevin and Doris got a blueberry at the shop, Kevin decided to give the blueberry to",Doris,"When Donnell and Miracle got a blueberry at the shop, Tobias decided to give the blueberry to",Declan,Kevin,Donnell
"Afterwards, Jerry and Ethel went to the zoo. Ethel gave a cantaloupe to",Jerry,"Afterwards, Roman and Gilbert went to the zoo. Oliver gave a cantaloupe to",Draven,Ethel,Gilbert
"After the lunch, Loretta and Natasha went to the home. Natasha gave a blackberry to",Loretta,"After the lunch, Dakota and Alexia went to the home. Ricardo gave a blackberry to",Cody,Natasha,Alexia
"While Mildred and Maggie were working at the store, Maggie gave a cherry to",Mildred,"While Brisa and Alden were working at the store, Arlene gave a cherry to",Cassandra,Maggie,Alden
The store David and Megan went to had a peach. Megan gave it to,David,The store Rick and Isis went to had a peach. Brook gave it to,Roberto,Megan,Isis
Friends Kari and Jessie found a raspberry at the gym. Kari gave it to,Jessie,Friends Jayde and Alison found a raspberry at the gym. Jaime gave it to,Brennan,Kari,Jayde
"Afterwards, Kristina and Brian went to the museum. Kristina gave a pear to",Brian,"Afterwards, Savion and Lewis went to the museum. Blaze gave a pear to",Brennan,Kristina,Savion
"When Marilyn and Anita got a watermelon at the mountain, Marilyn decided to give the watermelon to",Anita,"When Lillie and Faye got a watermelon at the mountain, Marcos decided to give the watermelon to",Quinn,Marilyn,Lillie
"Afterwards, Leona and Melissa went to the gym. Melissa gave a orange to",Leona,"Afterwards, Denise and Natasha went to the gym. Sylvia gave a orange to",Abigale,Melissa,Natasha
"After Rebecca and Brian went to the mountain, Rebecca gave a apple to",Brian,"After Oscar and Raven went to the mountain, Perry gave a apple to",Miles,Rebecca,Oscar
"While Heidi and Megan were working at the school, Megan gave a coconut to",Heidi,"While Sonia and Francisco were working at the school, Diego gave a coconut to",Vaughn,Megan,Francisco
"While Amanda and Erika were commuting to the beach, Erika gave a papaya to",Amanda,"While Nelson and Dayna were commuting to the beach, Lisa gave a papaya to",Dominik,Erika,Dayna
"After Kari and Kim went to the zoo, Kari gave a banana to",Kim,"After Andrea and Guy went to the zoo, Sophia gave a banana to",Moises,Kari,Andrea
"Then, Grace and Amanda had a lot of fun at the zoo. Grace gave a pear to",Amanda,"Then, Cara and Sheila had a lot of fun at the zoo. Desmond gave a pear to",Guy,Grace,Cara
"While Shannon and Stella were commuting to the theater, Shannon gave a peach to",Stella,"While Freddie and Andres were commuting to the theater, Beau gave a peach to",Dominic,Shannon,Freddie
"Then, Leona and Kari were thinking about going to the mountain. Kari wanted to give a kiwi to",Leona,"Then, Belen and Holly were thinking about going to the mountain. Raheem wanted to give a kiwi to",Kaleigh,Kari,Holly
Friends Ella and Jackie found a apple at the cafe. Jackie gave it to,Ella,Friends Annika and Nash found a apple at the cafe. Eli gave it to,Cali,Jackie,Nash
"When Agnes and Virginia got a papaya at the cave, Agnes decided to give it to",Virginia,"When Julius and Will got a papaya at the cave, Desirae decided to give it to",Lane,Agnes,Julius
"Then, Rachel and Kathryn were thinking about going to the zoo. Rachel wanted to give a pear to",Kathryn,"Then, Sky and Trenton were thinking about going to the zoo. Katrina wanted to give a pear to",Trevor,Rachel,Sky
"Then, Rebecca and Mildred were thinking about going to the desert. Rebecca wanted to give a peach to",Mildred,"Then, Leonel and Simeon were thinking about going to the desert. Harmony wanted to give a peach to",Teresa,Rebecca,Leonel
"After the lunch, Yolanda and Velma went to the museum. Velma gave a blueberry to",Yolanda,"After the lunch, Kiarra and Valeria went to the museum. Noe gave a blueberry to",Katerina,Velma,Valeria
The desert William and Erika went to had a mango. Erika gave it to,William,The desert Virginia and Lauren went to had a mango. Thalia gave it to,Joy,Erika,Lauren
"After the lunch, Virginia and Ethel went to the shop. Ethel gave a pear to",Virginia,"After the lunch, Summer and Kade went to the shop. Raina gave a pear to",Nico,Ethel,Kade
"Then, Ethel and Alyssa went to the shop. Ethel gave a apple to",Alyssa,"Then, Hailee and Abbigail went to the shop. Tommy gave a apple to",Zechariah,Ethel,Hailee
"After Sonia and Doris went to the lake, Sonia gave a apple to",Doris,"After Kaylee and Calvin went to the lake, Andre gave a apple to",Karley,Sonia,Kaylee
"After the lunch, Gwen and Alyssa went to the market. Gwen gave a orange to",Alyssa,"After the lunch, Deandre and Davonte went to the market. Sincere gave a orange to",Kaya,Gwen,Deandre
The home Mattie and Mona went to had a peach. Mona gave it to,Mattie,The home Moses and Bernard went to had a peach. Alaina gave it to,Brandy,Mona,Bernard
"Afterwards, Carol and Mildred went to the museum. Carol gave a pear to",Mildred,"Afterwards, Sonya and Sophia went to the museum. Terence gave a pear to",Monica,Carol,Sonya
Friends Teresa and Paula found a blackberry at the market. Teresa gave it to,Paula,Friends Carly and Willie found a blackberry at the market. Nicole gave it to,Damian,Teresa,Carly
"Afterwards, Paula and Miriam went to the lake. Miriam gave a grape to",Paula,"Afterwards, Glenn and Ciera went to the lake. Camren gave a grape to",Roberto,Miriam,Ciera
"After Suzanne and Theresa went to the bar, Suzanne gave a blackberry to",Theresa,"After Simone and Daisy went to the bar, Peter gave a blackberry to",Reilly,Suzanne,Simone
"While Carol and Harriet were commuting to the cafe, Carol gave a raspberry to",Harriet,"While Brooke and Veronica were commuting to the cafe, Jade gave a raspberry to",Enrique,Carol,Brooke
"While Richard and Kathryn were working at the home, Richard gave a plum to",Kathryn,"While Anna and Johanna were working at the home, Pablo gave a plum to",Edgar,Richard,Anna
The library Bernadette and Juana went to had a cherry. Bernadette gave it to,Juana,The library Trevion and Travis went to had a cherry. Landen gave it to,Abigail,Bernadette,Trevion
"When Martha and Jacqueline got a pineapple at the river, Martha decided to give it to",Jacqueline,"When Eleanor and Jaeden got a pineapple at the river, Kaitlyn decided to give it to",Devin,Martha,Eleanor
"While Loretta and Ethel were working at the gym, Ethel gave a plum to",Loretta,"While Lizette and Joanna were working at the gym, Braiden gave a plum to",Essence,Ethel,Joanna
"After Anne and Lula went to the beach, Lula gave a kiwi to",Anne,"After Cruz and Myles went to the beach, Hana gave a kiwi to",Shane,Lula,Myles
"Then, Janet and Jody were thinking about going to the gym. Jody wanted to give a cantaloupe to",Janet,"Then, Judah and Delaney were thinking about going to the gym. Kirsten wanted to give a cantaloupe to",Carina,Jody,Delaney
"Then, Mattie and Grace went to the desert. Grace gave a coconut to",Mattie,"Then, Beatrice and Cory went to the desert. Gaige gave a coconut to",Austen,Grace,Cory
The bar Mildred and Maggie went to had a peach. Maggie gave it to,Mildred,The bar Desirae and Julianna went to had a peach. Ryann gave it to,Noelia,Maggie,Julianna
"When Jackie and Sarah got a pear at the shop, Jackie decided to give it to",Sarah,"When Frederick and Elizabeth got a pear at the shop, Harley decided to give it to",Tobias,Jackie,Frederick
Friends Alicia and Eleanor found a kiwi at the park. Eleanor gave it to,Alicia,Friends Julianna and Kara found a kiwi at the park. Dante gave it to,Erin,Eleanor,Kara
"Then, Jackie and Amanda were thinking about going to the river. Jackie wanted to give a blackberry to",Amanda,"Then, Diana and Camila were thinking about going to the river. Jessica wanted to give a blackberry to",Adrian,Jackie,Diana
"While David and Kevin were working at the park, Kevin gave a apple to",David,"While George and Prince were working at the park, Sawyer gave a apple to",Coleman,Kevin,Prince
"Then, Heidi and Alice had a lot of fun at the cafe. Alice gave a strawberry to",Heidi,"Then, Silas and Hope had a lot of fun at the cafe. Haley gave a strawberry to",Hugh,Alice,Hope
The park Virginia and Fannie went to had a grape. Fannie gave it to,Virginia,The park Susan and Ulises went to had a grape. Blake gave it to,Vanessa,Fannie,Ulises
"Then, Chelsea and Kevin were thinking about going to the gym. Kevin wanted to give a pineapple to",Chelsea,"Then, London and Brian were thinking about going to the gym. Melody wanted to give a pineapple to",Xander,Kevin,Brian
"After the lunch, Juana and Kristi went to the cave. Kristi gave a raspberry to",Juana,"After the lunch, Moshe and Shawn went to the cave. Annabelle gave a raspberry to",Anya,Kristi,Shawn
"After the lunch, Juana and Faye went to the market. Faye gave a blackberry to",Juana,"After the lunch, Madisen and Theresa went to the market. Allyson gave a blackberry to",Tristian,Faye,Theresa
"After Marian and Ethel went to the lake, Ethel gave a kiwi to",Marian,"After Scarlett and Zaire went to the lake, Adolfo gave a kiwi to",Logan,Ethel,Zaire
"When Maggie and Ella got a cherry at the beach, Maggie decided to give it to",Ella,"When Santiago and Jessie got a cherry at the beach, Carlee decided to give it to",Katelin,Maggie,Santiago
Friends Richard and Dianne found a mango at the shop. Richard gave it to,Dianne,Friends Harry and Trenton found a mango at the shop. Damien gave it to,Melissa,Richard,Harry
The river Susan and Erika went to had a coconut. Erika gave it to,Susan,The river Christopher and Jerome went to had a coconut. Lonnie gave it to,Tommy,Erika,Jerome
"When Richard and Deanna got a blackberry at the river, Richard decided to give the blackberry to",Deanna,"When River and Kenya got a blackberry at the river, Nyah decided to give the blackberry to",Alonso,Richard,River
"While Brian and Irma were working at the park, Irma gave a mango to",Brian,"While James and Stacy were working at the park, Malcolm gave a mango to",Travis,Irma,Stacy
"While Evelyn and Gwen were commuting to the mountain, Gwen gave a pineapple to",Evelyn,"While Aryanna and Roberto were commuting to the mountain, Alvaro gave a pineapple to",Jadon,Gwen,Roberto
"Then, Lula and Janet had a lot of fun at the gym. Lula gave a orange to",Janet,"Then, Tate and Irving had a lot of fun at the gym. Aniya gave a orange to",Jayden,Lula,Tate
"Then, Stacey and Susan had a lot of fun at the theater. Stacey gave a blueberry to",Susan,"Then, Jayden and Simon had a lot of fun at the theater. Kyla gave a blueberry to",Joanne,Stacey,Jayden
The home William and Kelly went to had a peach. Kelly gave it to,William,The home Anthony and Pierre went to had a peach. Montana gave it to,Josh,Kelly,Pierre
"Then, Alicia and Leigh went to the library. Leigh gave a honeydew to",Alicia,"Then, Adolfo and Irving went to the library. Spencer gave a honeydew to",Bryce,Leigh,Irving
"Afterwards, Agnes and Paula went to the zoo. Agnes gave a coconut to",Paula,"Afterwards, Bernardo and Bonnie went to the zoo. Karli gave a coconut to",Emma,Agnes,Bernardo
"After the lunch, Brian and Teresa went to the beach. Teresa gave a mango to",Brian,"After the lunch, Graham and Paula went to the beach. Noel gave a mango to",Sage,Teresa,Paula
"When Lee and Yolanda got a apple at the desert, Lee decided to give it to",Yolanda,"When Joy and Tatiana got a apple at the desert, Madeline decided to give it to",Anna,Lee,Joy
"While Angie and Erika were working at the forest, Erika gave a cherry to",Angie,"While Annabel and Bradley were working at the forest, Antoinette gave a cherry to",Karli,Erika,Bradley
"After the lunch, Lorraine and Faye went to the theater. Faye gave a blackberry to",Lorraine,"After the lunch, Reece and Rahul went to the theater. Kurtis gave a blackberry to",Lauryn,Faye,Rahul
"When Lorraine and Faye got a blackberry at the school, Faye decided to give the blackberry to",Lorraine,"When Micheal and Lincoln got a blackberry at the school, Javonte decided to give the blackberry to",Rigoberto,Faye,Lincoln
"Then, Jackie and Alicia were working at the forest. Jackie decided to give a watermelon to",Alicia,"Then, Alejandro and Ciara were working at the forest. Avery decided to give a watermelon to",Phillip,Jackie,Alejandro
"Then, Violet and Carmen had a lot of fun at the zoo. Violet gave a blueberry to",Carmen,"Then, Lane and Kelvin had a lot of fun at the zoo. Elliott gave a blueberry to",Leslie,Violet,Lane
"Then, Susan and Robin went to the museum. Robin gave a orange to",Susan,"Then, Marco and Harry went to the museum. Eddie gave a orange to",Ahmad,Robin,Harry
"Afterwards, Kristi and Leona went to the mountain. Kristi gave a peach to",Leona,"Afterwards, Iris and Faye went to the mountain. Aracely gave a peach to",Lucia,Kristi,Iris
"While Rebecca and Chelsea were commuting to the shop, Rebecca gave a blackberry to",Chelsea,"While Damion and Sky were commuting to the shop, Irving gave a blackberry to",Tobias,Rebecca,Damion
"While Ginger and Stacey were commuting to the park, Stacey gave a cantaloupe to",Ginger,"While Lexus and Kennedy were commuting to the park, Jeffery gave a cantaloupe to",Sandra,Stacey,Kennedy
The cafe Sarah and Lula went to had a cherry. Lula gave it to,Sarah,The cafe Larry and Adrian went to had a cherry. Valeria gave it to,Quinn,Lula,Adrian
"Then, Kathryn and Kristi went to the beach. Kristi gave a watermelon to",Kathryn,"Then, Sydni and Sonny went to the beach. Madeleine gave a watermelon to",Carolyn,Kristi,Sonny
"Then, Theresa and Pat were working at the cave. Pat decided to give a orange to",Theresa,"Then, Titus and Chance were working at the cave. Edwin decided to give a orange to",Jared,Pat,Chance
